"Permit.Number","Orig","Dest"
"55003Z",1,2
"55025B",2,1
"55053N",1,6
"55065V",2,1
"55101X",3,2
"55110G",3,6
"55114A",14,3
"55115M",6,2
"55175C",3,1
"55184I",14,1
"55223R",4,3
"55227J",2,7
"55229N",5,3
"55230A",1,2
"55238W",1,6
"55253C",6,1
"55256N",3,9
"55261Z",2,4
"55327P",3,7
"55330W",4,3
"55383I",1,8
"55443G",2,8
"55466A",3,6
"55493O",8,1
"55500V",4,3
"55533L",2,1
"55542Q",1,6
"55547E",1,2
"55581X",3,4
"55603S",2,6
"55621M",1,2
"55636S",2,6
"55670L",3,2
"55747V",2,8
"55777L",6,1
"55783R",1,2
"55786C",4,8
"55805E",2,1
"55809A",6,3
"55856I",7,2
"55876G",3,6
"55878N",7,2
"55879K",2,7
"55888S",4,3
"55901O",6,1
"55963U",2,6
"55991X",2,1
"56004N",7,2
"56011L",1,6
"56024C",2,6
"56066M",1,2
"56099A",1,2
"56114W",3,1
"56138M",3,6
"56170U",6,3
"56188B",1,2
"56209A",6,16
"56225X",7,6
"56250I",1,3
"56329F",5,2
"56434L",1,8
"56436E",1,2
"56439C",3,6
"56442E",6,5
"56458L",7,6
"56460U",7,8
"56526U",6,2
"56542M",5,2
"56553I",7,3
"56611P",7,6
"56621E",2,1
"56652W",3,1
"56656Q",1,3
"56661Z",2,1
"56733H",13,3
"56736F",3,8
"56740G",4,3
"56741V",6,2
"56760S",1,8
"56808F",2,1
"56815G",4,3
"56864Z",11,7
"56884X",3,1
"56891K",1,5
"56939F",4,3
"56961J",4,2
"56999Q",4,1
"57012S",2,9
"57042S",3,1
"57050O",4,6
"57072Q",6,3
"57085S",13,2
"57126J",1,2
"57133E",3,13
"57151K",6,5
"57173N",8,7
"57181P",9,3
"57196R",8,7
"57231E",6,3
"57236K",3,6
"57255K",5,3
"57261W",3,4
"57301R",6,3
"57323Z",2,6
"57401S",5,3
"57426V",2,4
"57432Z",9,3
"57484K",3,8
"57502U",2,6
"57539S",3,4
"57557Z",1,6
"57582C",6,5
"57585U",2,9
"57643P",3,1
"57692J",1,3
"57756Q",1,6
"57837F",1,6
"57839O",14,1
"57915N",5,3
"57927M",5,3
"57941M",2,6
"57944L",14,3
"57972O",5,2
"57974I",2,4
"58061X",1,6
"58068W",6,3
"58078X",3,4
"58147M",8,2
"58162L",3,2
"58202Z",5,3
"58242O",7,6
"58265K",1,6
"58287R",3,6
"58289G",2,8
"58292F",6,5
"58300P",6,3
"58310R",14,1
"58313P",3,8
"58327R",3,4
"58382R",10,9
"58422L",14,3
"58428V",3,4
"58457L",1,8
"58654F",2,1
"58663P",2,1
"58707H",4,2
"58718W",4,8
"58726K",12,3
"58755W",5,3
"58797J",3,7
"58805A",1,6
"58825E",14,4
"58846L",3,2
"58850C",3,6
"58881S",8,2
"58883B",5,1
"58906E",7,3
"58993M",3,2
"59017R",12,14
"59021I",2,6
