"Permit.Number","Orig","Dest"
"55017N",2,1
"55034H",14,1
"55037O",6,7
"55170U",5,13
"55184I",3,1
"55220K",6,3
"55284N",2,1
"55316W",1,3
"55324S",3,4
"55339X",2,1
"55365W",2,1
"55371G",4,3
"55387C",1,8
"55393G",1,2
"55412Q",12,3
"55504K",2,6
"55515A",5,1
"55520P",5,13
"55546P",5,6
"55557H",7,3
"55559Q",3,6
"55568W",4,2
"55595I",1,3
"55599C",2,1
"55603S",1,2
"55605J",7,3
"55609E",5,7
"55625J",7,2
"55628H",8,7
"55630A",4,3
"55695N",1,2
"55698S",2,1
"55707K",14,3
"55709U",8,2
"55726I",1,2
"55730S",1,2
"55763W",1,2
"55783R",2,1
"55786C",1,4
"55803V",5,7
"55810L",5,3
"55831I",3,1
"55883B",6,3
"55888S",4,3
"55918Z",9,3
"55948L",3,4
"55952V",5,3
"55993K",7,3
"55998Q",5,2
"56004N",7,3
"56020W",5,3
"56021O",15,2
"56022B",8,2
"56025J",3,6
"56057F",7,2
"56063M",7,2
"56071A",8,3
"56072R",8,3
"56087G",3,4
"56107H",3,2
"56111U",3,6
"56121U",3,7
"56128H",1,2
"56153X",7,2
"56154V",14,3
"56170U",8,6
"56182Z",7,3
"56191Z",7,1
"56212V",2,1
"56264A",3,2
"56279C",2,7
"56309V",8,1
"56310U",3,6
"56318G",5,9
"56336U",3,2
"56342Q",9,3
"56343N",2,7
"56344K",3,2
"56348Z",1,3
"56358G",4,3
"56393F",8,2
"56415U",13,3
"56434L",2,1
"56512B",2,13
"56527M",7,2
"56537B",5,2
"56539L",5,3
"56540C",3,5
"56555R",3,6
"56569N",4,3
"56580J",3,5
"56601I",1,6
"56610S",8,7
"56643W",4,3
"56644O",2,6
"56651F",2,1
"56661Z",1,2
"56662A",3,8
"56665C",1,3
"56666U",2,4
"56681B",8,5
"56696N",12,3
"56718V",7,3
"56728W",4,3
"56788V",1,2
"56796W",1,2
"56811G",1,16
"56813M",5,2
"56816A",6,4
"56842W",2,6
"56912M",1,2
"56919E",8,3
"56943X",12,1
"56947R",4,3
"56953P",1,2
"56957H",5,2
"57003B",13,3
"57033R",7,2
"57051Z",2,7
"57054G",3,2
"57057L",6,2
"57068B",6,4
"57085S",2,13
"57136E",2,7
"57180N",6,7
"57183S",3,2
"57219O",7,2
"57245M",5,2
"57297U",2,4
"57372R",7,3
"57382P",3,8
"57460N",1,2
"57484K",4,3
"57501K",5,3
"57510S",3,4
"57534S",1,2
"57535B",6,3
"57548Z",6,4
"57567N",2,6
"57579K",1,2
"57621P",2,6
"57632C",3,6
"57698O",7,3
"57730V",5,3
"57758O",4,1
"57760O",5,6
"57780N",6,1
"57798G",6,2
"57822A",2,1
"57856A",2,1
"57958X",5,8
"58030O",3,7
"58038Z",2,7
"58050N",4,1
"58052X",4,12
"58057M",4,3
"58065X",3,2
"58085N",2,3
"58128O",3,2
"58162L",3,9
"58172N",8,3
"58196R",5,3
"58202Z",3,5
"58208W",2,1
"58210L",2,7
"58221F",4,2
"58231F",4,3
"58232U",4,6
"58293W",5,8
"58311I",3,7
"58333X",2,4
"58376O",6,2
"58384C",4,3
"58393I",4,6
"58397W",3,6
"58400A",3,1
"58403I",9,7
"58431U",3,2
"58438C",2,6
"58444W",3,4
"58451P",4,3
"58461K",3,2
"58481L",4,3
"58486I",1,2
"58488C",3,6
"58551S",7,1
"58552N",6,3
"58573F",2,6
"58582V",9,3
"58591K",1,2
"58601K",3,1
"58661G",4,2
"58675X",3,12
"58681X",7,3
"58682L",7,3
"58687A",1,8
"58698M",2,1
"58703H",1,8
"58705S",14,3
"58713H",2,7
"58720G",8,4
"58726K",12,3
"58740B",4,2
"58754S",9,3
"58765J",3,8
"58791I",2,6
"58797J",7,3
"58818F",13,3
"58822S",2,3
"58832W",2,6
"58842R",14,6
"58848X",3,13
"58855L",5,3
"58887A",4,3
"58888R",4,3
"58908S",4,2
"58915M",2,6
"58917S",7,2
"58960Q",6,2
"58961J",2,4
"58968U",14,1
"58980B",1,6
"58991C",4,2
"58993M",4,3
"59000W",13,2
"59012I",4,3
"59013X",2,8
"59021I",3,2
"59022A",2,3
"59091X",4,3
"59138L",2,3
"59149B",6,7
"59150N",2,6
"59151F",2,1
"59168F",7,2
"59188G",4,3
"59211Q",3,5
"59250B",7,2
"59264O",7,8
"59273Z",2,8
"59296S",2,5
"59302E",8,1
"59308M",13,3
"59324G",1,2
"59335F",4,3
"59379M",7,3
"59380E",3,6
"59415P",6,5
"59429K",14,2
"59438M",2,7
"59448L",8,2
"59478U",9,3
"59515V",1,3
"59517Z",9,3
"59527W",9,3
"59528B",5,6
"59559H",1,2
"59571G",1,2
"59583V",1,2
"59599U",5,2
"59611P",6,3
"59612Z",5,3
"59621I",1,14
"59629U",6,7
"59635G",3,4
"59649U",2,7
"59673X",9,3
"59675E",3,9
"59683K",3,4
"59704O",5,3
"59718R",3,7
"59722L",3,2
"59780X",1,9
"59807O",4,3
"59835V",5,6
"59836N",5,3
"59837G",5,8
"59852S",4,3
"59862Q",4,3
"59868F",9,3
"59879L",5,4
"59898O",2,4
"59945H",4,6
"59947Q",2,4
"59966U",3,4
"59975A",4,3
"60001Q",3,2
"60014H",4,3
"60029Q",6,2
"60030I",4,3
"60049I",2,5
"60061C",9,8
"60106Z",7,2
"60111L",6,4
"60114M",3,2
"60116O",1,2
"60135B",4,3
"60149L",7,8
"60157B",6,1
"60167W",3,6
"60174A",8,6
"60212E",1,6
"60215O",14,4
"60236F",3,16
