"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,5,5,0,7,0,0,0,6,0,0,0,0,0
0,4,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0
0,12,0,0,27,13,0,7,0,0,0,9,0,0,0,0,0
0,17,9,46,0,0,0,19,0,0,0,0,0,5,0,0,0
0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0,36,12,21,8,6,4,0,7,0,0,12,0,5,0,0,0
0,6,5,8,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,5,0,12,0,0,0,44,0,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,4,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
