"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,54,19,7,0,56,8,0,0,6,0,0,0,0,0
0,9,0,16,10,6,0,22,0,0,0,0,0,0,0,0,0
0,48,28,0,160,21,5,101,23,0,0,11,0,7,0,0,0
0,39,32,133,0,9,0,34,0,0,0,0,0,8,0,0,0
0,10,6,18,0,0,0,44,0,0,0,0,0,0,0,0,0
0,0,6,25,0,0,126,16,0,0,0,0,0,0,0,0,0
0,74,48,90,21,21,12,0,18,0,0,21,8,24,0,0,0
0,12,6,18,0,0,0,40,234,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
0,24,7,56,18,0,0,60,0,0,0,0,8,5,0,0,0
0,0,0,6,0,0,0,14,0,0,0,5,0,7,0,0,0
0,9,0,9,0,0,0,21,0,0,5,0,8,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
