"Permit.Number","Orig","Dest"
"55012B",3,1
"55018G",1,2
"55024M",14,6
"55026S",1,2
"55033X",6,3
"55038F",2,3
"55042A",3,7
"55043P",2,3
"55050L",9,6
"55061X",1,3
"55076S",6,3
"55077E",1,6
"55086J",8,1
"55090Z",1,3
"55093F",8,1
"55094W",2,1
"55096M",4,6
"55097F",8,2
"55102V",4,6
"55104G",4,3
"55109J",2,1
"55113G",6,1
"55118X",2,6
"55121S",6,1
"55125N",9,6
"55130F",4,2
"55135L",1,2
"55141O",2,1
"55144Q",1,6
"55146B",1,6
"55150Q",2,5
"55154U",2,1
"55155M",3,2
"55156F",6,2
"55159X",1,2
"55161B",1,2
"55166W",1,2
"55169P",2,3
"55177M",2,1
"55180N",1,6
"55181G",14,6
"55182X",2,1
"55185A",2,1
"55193N",2,3
"55195X",8,1
"55199R",2,3
"55200O",3,1
"55201H",1,3
"55213Q",3,7
"55222A",4,2
"55228Q",5,3
"55237F",1,6
"55251S",7,9
"55263A",2,1
"55264B",5,3
"55265V",3,1
"55271N",1,2
"55272G",2,5
"55276E",2,14
"55278S",2,3
"55280C",3,6
"55285J",2,1
"55294M",2,7
"55304N",2,3
"55305H",2,1
"55310B",2,1
"55311R",13,5
"55314V",5,4
"55343Q",14,1
"55345H",5,6
"55349B",6,8
"55350R",5,2
"55357J",14,1
"55362Q",3,5
"55363J",2,1
"55364K",5,2
"55366U",4,2
"55372R",1,6
"55377F",1,3
"55381X",1,6
"55382P",2,1
"55391X",8,3
"55393G",2,6
"55397G",3,5
"55399O",5,13
"55402Q",2,1
"55405Z",2,8
"55406N",7,2
"55416L",6,3
"55426H",3,7
"55429H",2,7
"55430G",2,3
"55434Q",2,1
"55435F",6,2
"55438O",2,3
"55445R",2,6
"55449K",6,4
"55450V",6,8
"55462A",2,3
"55467R",3,6
"55476V",8,3
"55478L",2,6
"55488E",1,2
"55492S",2,1
"55497G",1,6
"55498B",1,8
"55505U",1,6
"55507M",1,8
"55524G",1,2
"55536N",1,2
"55540H",1,2
"55546P",8,13
"55557H",8,3
"55560I",6,2
"55566H",3,2
"55575R",3,2
"55576F",2,1
