"Permit.Number","Orig","Dest"
"56820N",2,1
"56822B",2,1
"56828A",2,5
"56829X",7,3
"56832S",2,8
"56833E",2,1
"56851W",2,3
"56855W",14,2
"56857X",1,2
"56861C",4,3
"56862U",4,11
"56873I",4,2
"56874C",4,6
"56883C",7,8
"56888J",2,1
"56891K",2,5
"56895N",6,2
"56896W",8,1
"56903H",6,5
"56906U",9,2
"56911U",6,2
"56912M",2,1
"56917S",2,8
"56923Z",2,3
"56926B",8,3
"56943X",4,12
"56948W",1,2
"56950N",6,3
"56955G",2,5
"56962X",6,3
"56967K",3,6
"56969X",4,2
"56974A",5,1
"56983G",1,2
"56995J",1,2
"57000U",1,2
"57001K",7,8
"57003B",5,13
"57010X",6,2
"57014K",2,3
"57017L",8,2
"57032A",2,7
"57036U",7,3
"57039A",8,3
"57040Q",8,2
"57041G",7,2
"57047K",1,8
"57050O",6,4
"57060M",6,3
"57068B",4,6
"57073F",6,7
"57075S",6,3
"57076J",6,3
"57078V",8,3
"57096B",9,5
"57105M",2,1
"57113G",7,3
"57122L",2,7
"57125P",6,13
"57126J",4,1
"57127R",2,8
"57129W",9,2
"57131I",2,7
"57135H",2,7
"57140Q",9,5
"57141J",9,5
"57142X",2,6
"57147W",4,3
"57151K",3,6
"57157U",6,3
"57179U",2,3
"57181P",2,9
"57184E",7,3
"57186P",1,2
"57194V",1,2
"57199V",2,3
"57208E",2,7
"57211I",6,5
"57222U",7,3
"57223I",7,2
"57230G",2,3
"57233N",6,2
"57238X",2,5
"57249P",6,3
"57267B",2,8
"57275Q",4,3
"57285F",2,7
"57287N",2,1
"57296B",7,3
"57297U",1,2
"57302I",2,7
"57304R",7,3
"57305F",1,2
"57306W",1,3
"57313V",1,2
"57323Z",4,1
"57324I",2,1
"57333J",2,1
"57335J",4,1
"57336P",1,9
"57346W",6,2
"57347G",5,2
"57348B",1,2
"57359W",4,3
"57367B",8,5
"57372R",6,7
"57374W",3,5
"57376O",13,5
"57382P",7,3
"57385R",6,3
"57386K",6,3
"57391S",1,2
"57399P",4,3
"57402G",9,3
"57414F",4,3
"57415L",6,5
"57418Q",2,1
"57419Q",2,6
"57433Q",9,3
"57438R",2,4
"57439V",9,2
"57447J",9,3
"57454S",2,8
"57461Q",4,3
"57474G",2,5
"57483L",6,2
"57484K",2,4
"57491Z",15,1
"57499O",7,3
"57502U",5,2
"57506U",7,3
"57508I",4,3
"57510S",4,3
"57512V",2,1
"57513S",6,1
"57514L",8,2
"57517N",6,2
"57520O",6,2
"57528G",2,8
"57531R",9,3
"57534S",2,1
"57535B",4,6
"57556H",2,1
"57557Z",2,1
"57567N",9,2
"57569X",14,9
"57575B",9,3
"57576O",9,5
"57577U",8,3
"57578R",6,1
"57579K",8,1
"57581S",4,2
"57588P",6,4
"57589C",1,2
"57590V",7,2
"57606B",1,8
"57608Q",3,6
"57619X",1,2
"57621P",3,2
"57622F",6,7
"57624J",1,2
"57627Q",7,2
"57639S",2,1
"57664E",2,1
"57671Z",1,2
"57675P",2,8
"57677E",6,2
"57693K",4,3
"57703A",1,6
"57715P",1,2
"57719C",1,2
"57726X",1,2
"57739J",5,2
"57756Q",6,1
"57760O",3,5
"57763Q",7,5
"57765K",4,3
"57769V",8,1
"57770M",8,1
"57771F",8,1
"57777M",8,6
"57787M",2,7
"57791J",12,6
"57799O",5,2
"57805N",2,9
"57812C",2,4
"57816Z",3,4
"57817L",7,3
"57822A",1,2
"57823M",2,1
"57825C",6,1
"57835W",7,2
"57839O",1,2
"57841X",8,1
"57843F",2,1
"57851N",2,1
"57856A",1,2
"57860J",8,3
"57861Z",6,14
"57874V",2,1
"57880S",1,2
"57884Q",3,2
"57889J",2,3
"57891J",1,2
"57892F",1,2
"57895Z",1,2
"57898B",1,2
"57910N",1,2
"57911K",1,2
"57913E",4,3
"57919Z",5,2
"57921Q",6,2
"57932H",4,3
"57934N",2,3
"57935A",8,2
"57941M",8,6
"57947C",3,2
"57951F",8,2
"57958X",2,5
"57975W",7,3
"57978Z",2,6
"57985R",3,2
"57999B",3,6
"58000M",9,3
"58001C",9,2
"58002W",9,3
"58007H",9,6
"58010K",9,2
"58018W",9,2
"58019Q",9,6
"58020L",5,1
"58021M",8,2
"58022H",4,3
"58023Z",4,2
"58028U",9,5
"58030O",2,3
"58038Z",7,2
"58050N",1,4
"58056J",5,3
"58064G",6,2
"58065X",4,3
"58066R",2,6
"58067K",2,4
"58068W",3,2
"58079H",5,2
"58080H",2,3
"58086G",1,2
"58098S",2,6
"58099R",9,2
"58100I",2,14
"58103F",8,2
"58104W",3,1
"58121R",7,3
"58137R",8,2
"58146X",1,2
"58152R",9,3
"58157H",9,3
"58159O",9,2
"58161S",9,2
"58171Q",9,3
"58172N",9,8
"58173I",9,3
"58174A",3,9
"58175R",9,3
"58180P",1,3
"58181U",1,2
"58182U",1,6
"58194C",2,1
"58195A",4,2
"58197W",1,8
"58199U",12,6
"58207N",12,15
"58210L",7,2
"58227I",6,7
"58232U",8,4
"58236L",7,12
"58239I",8,5
"58242O",2,7
"58265K",2,1
"58273E",8,2
"58277P",3,7
"58278M",3,7
"58281L",3,1
"58284V",4,6
"58285G",2,1
"58288K",6,3
"58290N",1,2
"58292F",6,5
"58293W",6,5
"58294S",4,6
"58295E",2,1
"58302C",7,3
"58322F",7,3
"58325I",2,3
"58331L",4,6
"58333X",8,2
"58341V",1,2
"58350B",1,2
"58351X",3,1
"58356K",2,1
"58357G",2,1
"58359P",3,1
"58362O",7,3
"58363O",1,4
"58365Z",14,2
"58372O",6,1
"58376O",4,6
"58378Z",2,8
"58379S",4,3
"58385W",4,3
"58393I",2,4
"58397W",8,3
"58398U",3,2
"58403I",6,9
"58410E",7,2
"58414B",4,3
"58422L",2,3
"58426G",3,1
"58431U",4,3
"58435O",8,6
"58441R",2,8
"58443F",6,4
"58444W",4,3
"58447W",5,3
"58450U",7,3
"58454R",4,9
"58458H",2,1
"58460P",2,1
"58461K",5,3
"58463J",9,2
"58465I",4,1
"58466Q",5,2
"58467R",12,4
"58477K",8,3
"58480Q",12,2
"58494L",4,6
"58496R",9,3
"58501W",1,2
"58505Q",1,2
"58506Q",1,2
"58511U",1,2
"58512M",2,1
"58514F",2,1
"58515C",2,3
"58518C",8,5
"58519Z",4,8
"58526K",7,2
"58532V",12,3
"58549P",4,2
"58551S",2,7
"58552N",2,6
"58556K",6,7
"58559N",6,2
"58560V",2,1
"58563H",8,6
"58570C",5,2
"58575Q",4,6
"58583F",4,2
"58585H",6,2
"58586Z",1,2
"58589B",1,3
"58592C",1,2
"58595F",2,1
"58601K",2,3
"58602X",1,2
"58608P",3,6
"58613V",1,2
"58615Z",3,2
"58616X",1,3
"58617R",7,2
"58618G",7,3
"58623Z",14,3
"58625E",2,1
"58628I",7,2
"58636Q",3,7
"58643Q",7,3
"58645Z",2,1
"58654F",2,1
"58656O",2,1
"58658H",8,3
"58664C",1,3
"58666O",3,6
"58669Q",3,6
"58674G",4,3
"58675X",12,3
"58680E",1,2
"58689P",3,7
"58694B",4,2
"58695S",3,9
"58697X",2,1
"58700F",2,1
"58705S",7,14
"58716M",4,3
"58719N",2,3
"58720G",6,8
"58725O",3,7
"58729E",2,3
"58730B",2,8
"58731S",2,5
"58732L",5,3
"58737A",4,3
"58738M",6,1
"58742L",4,3
"58744M",6,8
"58750B",4,3
"58757V",3,4
"58765J",8,3
"58766B",12,6
"58777S",4,2
"58783O",1,2
"58788H",4,3
"58792A",6,7
"58795F",4,3
"58799S",3,7
"58805A",2,1
"58806R",1,2
"58816P",2,3
"58819R",8,1
"58822S",8,2
"58828A",2,7
"58832W",4,2
"58833Q",4,14
"58839S",6,2
"58846L",7,3
"58851W",7,2
"58859O",3,2
"58868L",2,14
"58875H",3,2
"58876I",6,2
"58879M",4,3
"58881S",3,8
"58889Z",7,5
"58891Q",3,8
"58900N",9,1
"58904Q",3,1
"58909J",6,9
"58911K",2,3
"58915M",14,2
"58916H",4,3
"58917S",2,7
"58920P",1,3
"58925B",2,1
"58939S",2,3
"58942G",4,3
"58943M",8,6
"58944F",3,1
"58945C",2,7
"58951B",7,3
"58952R",2,3
"58954I",7,3
"58959A",6,3
"58962Z",4,3
"58968U",1,14
"58970M",4,3
"59000W",3,13
"59004J",5,3
"59007Q",3,2
"59009Z",6,2
"59017R",4,14
"59025G",6,2
"59029W",3,2
"59031V",1,2
"59032R",6,2
"59041J",8,14
"59044L",8,4
"59047C",8,5
"59049M",2,1
"59051F",4,3
"59052W",4,1
"59056Q",4,3
"59060M",1,4
"59061W",1,8
"59074Z",3,6
"59081U",3,7
"59086C",7,2
"59087Z",7,3
"59088W",4,3
"59089O",4,6
"59090G",4,3
"59098M",1,2
"59099M",9,5
"59105P",2,3
"59106I",2,7
"59110B",7,2
"59118N",2,1
"59120Z",7,6
"59121U",12,2
"59122F",6,3
"59123F",12,3
"59124S",3,2
"59127P",1,2
"59132F",2,1
"59135M",2,4
"59137N",2,1
"59138L",7,2
"59143W",2,8
"59149B",7,6
"59150N",7,2
"59152W",2,1
"59153A",3,8
"59154R",3,8
"59162U",1,2
"59169Q",5,3
"59175X",3,6
"59177G",7,2
"59179U",7,3
"59181H",4,1
"59187N",8,2
"59190K",5,3
"59195V",7,3
"59197U",9,3
"59207H",7,2
"59211Q",9,3
"59215U",2,1
"59223F",5,2
"59231R",5,6
"59236I",8,6
"59247X",2,1
"59248I",1,2
"59252L",7,2
"59258N",6,1
"59259L",8,3
"59262J",7,3
"59265L",7,2
"59266X",6,3
"59271O",7,8
"59273Z",7,2
"59274Q",3,7
"59275J",7,2
"59279X",1,2
"59281M",2,8
"59284O",7,2
"59290R",7,6
"59293X",6,4
"59296S",1,2
"59301N",8,3
"59303V",8,3
"59307V",14,3
"59309G",12,1
"59313Z",5,3
"59315A",2,1
"59317S",16,3
"59319G",4,8
"59321F",3,2
"59322E",7,3
"59323N",2,1
"59330R",6,2
"59336Q",1,2
"59340P",3,4
"59342U",1,2
"59344H",3,6
"59364G",12,5
"59365V",5,6
"59373G",8,1
"59378L",9,5
"59380E",2,3
"59383G",3,6
"59388M",2,1
"59392L",2,3
"59399E",7,3
"59412N",2,5
"59414W",2,6
"59417C",2,3
"59420G",4,6
"59425R",2,3
"59429K",2,14
"59432L",1,2
"59436I",4,3
"59437U",7,2
"59441N",7,6
"59448L",5,8
"59452H",4,3
"59458C",2,3
"59462F",4,6
"59467S",4,2
"59468I",2,3
"59473L",2,5
"59480K",1,2
"59482A",8,4
"59483R",2,6
"59484B",10,2
"59485C",4,3
"59486U",4,6
"59488H",4,6
"59492O",2,3
"59502X",2,3
"59504X",1,2
"59508C",7,2
"59518X",2,8
"59520H",1,2
"59528B",3,5
"59530B",1,2
"59537X",1,2
"59546O",4,3
"59547B",2,8
"59552H",3,1
"59554W",7,8
"59556M",4,6
"59557F",4,2
"59558W",4,3
"59559H",8,1
"59560E",4,6
"59568E",9,2
"59570B",4,3
"59572R",9,3
"59573E",4,1
"59580B",4,5
"59586E",4,2
"59596V",1,2
"59605F",2,7
"59607Z",4,3
"59608Q",4,3
"59611P",8,6
"59614J",2,5
"59619V",2,5
"59623X",4,9
"59629U",7,6
"59632E",4,8
"59633P",7,3
"59634P",6,3
"59639W",7,2
"59640E",1,6
"59645E",4,6
"59646M",5,2
"59647F",1,2
"59653N",7,8
"59655X",3,8
"59656P",1,3
"59657I",1,3
"59659R",1,3
"59660J",1,3
"59661B",1,3
"59662S",1,3
"59664Z",7,3
"59665P",6,5
"59666L",3,1
"59670H",2,8
"59676A",9,2
"59680O",9,2
"59687Z",3,8
"59700A",6,5
"59707G",4,1
"59710B",8,3
"59713B",7,3
"59716N",4,3
"59717E",4,1
"59718R",11,3
"59722L",2,3
"59727X",5,2
"59728P",7,11
"59737V",7,3
"59738N",2,3
"59741U",4,3
"59747I",9,2
"59752K",4,6
"59759B",6,3
"59765I",2,7
"59768K",6,2
"59779L",9,8
"59780X",9,1
"59790L",7,3
"59793J",7,3
"59796V",12,3
"59797N",3,6
"59806J",2,1
"59809S",2,1
"59812A",4,3
"59814M",4,6
"59815C",6,2
"59822X",2,5
"59832X",4,3
"59833F",2,1
"59834G",4,2
"59836N",8,5
"59837G",8,5
"59839O",7,3
"59844U",1,2
"59846N",4,2
"59851X",5,13
"59852S",3,4
"59853L",3,4
"59855V",4,3
"59856N",4,3
"59857G",5,3
"59861Z",2,4
"59866L",9,6
"59868F",3,9
"59870P",3,9
"59872J",3,6
"59873H",4,3
"59875Q",4,3
"59880C",1,14
"59881U",3,4
"59882M",2,6
"59883F",4,14
"59886H",3,6
"59894U",6,9
"59899H",9,3
"59901V",3,4
"59905P",4,2
"59908R",3,4
"59909K",3,4
"59910B",4,3
"59911S",4,3
"59912L",4,7
"59913E",4,2
"59917X",4,9
"59922J",4,3
"59925L",4,6
"59927V",6,2
"59930W",4,6
"59932H",4,3
"59936B",4,3
"59943W",2,8
"59947Q",4,2
"59958H",2,1
"59960P",4,3
"59964K",4,6
"59966U",4,3
"59968F",4,6
"59974I",4,3
"59978A",2,1
"59980U",9,2
"59989M",3,8
"59997P",8,2
"60000M",15,9
"60001Q",1,3
"60009Q",6,1
"60010K",2,8
"60012M",2,3
"60017J",4,3
"60019S",3,2
"60021C",4,2
"60022U",4,2
"60023M",3,4
"60025W",2,6
"60029Q",4,6
"60032R",6,3
"60033K",4,3
"60037F",2,8
"60038W",4,2
"60039O",1,6
"60048M",1,2
"60049I",8,2
"60050Z",8,5
"60057J",2,3
"60058C",2,1
"60066U",5,1
"60069I",4,3
"60073P",5,3
"60077N",1,3
"60083Q",3,2
"60088L",4,3
"60093W",4,3
"60095H",4,3
"60098E",3,7
"60100N",7,3
"60103O",1,2
"60104H",2,1
"60110G",2,1
"60111L",2,6
"60113U",2,3
"60114M",7,3
"60117K",1,2
"60125A",7,8
"60127K",3,2
"60129A",3,14
"60140J",7,3
"60142N",3,1
"60145S",1,2
"60146N",7,3
"60152L",6,2
"60157B",2,6
"60162O",2,9
"60164C",4,3
"60167W",7,3
"60174A",6,8
"60178I",9,1
"60184X",4,6
"60187C",5,6
"60188U",4,6
"60194R",2,7
"60196X",7,3
"60197A",4,3
"60198H",6,1
"60199I",3,14
"60205F",9,3
"60206A",1,7
"60207R",1,6
"60214N",1,7
"60215O",8,14
"60222K",4,3
"60226B",7,1
"60228J",8,3
"60229X",2,1
"60230O",1,5
"60231P",2,4
"60234R",12,3
"60235K",2,6
"60243A",5,3
"60246Q",2,5
"60252A",3,2
"60254M",7,3
"60256W",7,3
"60257O",7,3
"60259Z",2,3
"60261I",7,3
"60262A",7,3
"60271E",6,3
"60276S",3,2
"60277L",4,2
"60287L",2,4
"60288E",2,3
"60289V",4,3
"60293M",2,8
"60301I",3,2
"60304G",3,5
"60308C",4,3
"60309O",2,1
"60310N",4,3
