"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,79,40,7,0,97,13,0,0,12,0,5,0,0,0
0,28,0,24,18,0,0,42,6,0,0,0,0,0,0,0,0
0,82,22,0,152,23,10,111,32,0,0,13,0,11,0,0,0
0,65,20,72,0,7,0,62,11,0,0,7,0,5,0,0,0
0,10,8,27,0,0,0,63,0,0,0,0,0,0,0,0,0
0,6,5,7,0,0,0,26,0,0,0,0,0,0,0,0,0
0,91,28,100,36,26,16,0,23,5,10,24,6,47,0,5,0
0,20,0,18,7,0,0,32,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,7,36,7,0,0,60,0,0,0,0,0,0,0,0,0
0,0,0,5,0,0,0,8,0,0,0,7,0,0,0,0,0
0,9,0,0,10,0,0,29,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
