"Permit.Number","Orig","Dest"
"55000S",1,2
"55013W",2,6
"55019X",1,2
"55020R",3,6
"55026S",1,3
"55033X",6,2
"55036U",2,1
"55042A",2,3
"55048C",1,6
"55050L",1,8
"55052V",1,2
"55054G",3,2
"55056P",3,8
"55076S",3,4
"55083Z",1,2
"55084V",1,2
"55086J",1,6
"55088S",1,2
"55093F",1,8
"55094W",1,2
"55096M",3,2
"55101X",1,3
"55115M",1,2
"55124B",4,13
"55138N",8,1
"55141O",6,1
"55143Z",1,3
"55150Q",6,5
"55151J",2,1
"55154U",4,2
"55155M",4,3
"55157S",2,3
"55159X",2,8
"55161B",2,4
"55174K",8,1
"55187K",1,8
"55200O",2,3
"55202Z",2,1
"55204J",2,1
"55213Q",2,7
"55224K",6,4
"55240C",1,2
"55245O",2,6
"55251S",2,7
"55260X",2,1
"55261Z",3,2
"55270V",2,1
"55285J",6,2
"55288L",2,1
"55313U",1,2
"55314V",2,11
"55323R",2,1
"55326X",2,1
"55328N",2,6
"55334Q",6,2
"55338X",2,1
"55341Z",2,8
"55351K",5,2
"55361H",5,13
"55363J",1,2
"55376E",2,3
"55382P",6,2
"55391X",3,8
"55396A",2,1
"55402Q",1,2
"55403B",2,1
"55413E",2,1
"55446A",2,7
"55447W",2,3
"55453E",2,3
"55454H",9,3
"55456A",2,1
"55460G",2,9
"55464P",3,8
"55465I",7,8
"55469A",2,3
"55472H",3,2
"55474L",1,6
"55478L",6,2
"55479P",2,1
"55482Z",1,8
"55483Q",1,8
"55493O",2,8
"55498B",1,2
"55501A",1,2
"55506Q",1,2
"55507M",1,2
"55509C",6,2
"55525U",1,2
"55527F",2,1
"55528C",3,6
"55529U",14,2
"55538X",2,1
"55539M",1,8
"55542Q",2,1
"55566H",8,3
"55578Q",7,2
"55580X",1,2
"55593A",7,6
"55594P",2,1
"55602O",4,1
"55608P",7,5
"55612H",2,1
"55619E",1,2
"55626B",7,2
"55640P",1,2
"55641I",2,1
"55646M",2,6
"55649U",7,6
"55651I",2,8
"55658Z",2,1
"55668C",3,6
"55672S",3,6
"55679M",2,1
"55680H",2,3
"55683O",3,7
"55685Q",7,2
"55687G",12,3
"55688V",2,1
"55689G",6,1
"55696J",2,1
"55701A",2,1
"55714A",6,2
"55719R",12,2
"55720J",3,5
"55721V",1,2
"55728O",2,13
"55733E",3,8
"55735S",4,2
"55738R",3,2
"55739N",5,2
"55742J",6,1
"55751O",2,1
"55758N",11,7
"55761R",2,6
"55767Q",2,3
"55770R",2,1
"55773U",2,1
"55798I",6,1
"55801B",1,2
"55818G",2,7
"55832A",2,3
"55847F",1,2
"55848W",2,1
"55851E",4,3
"55853N",4,8
"55864E",3,12
"55875P",3,6
"55889N",4,6
"55894W",6,3
"55896B",2,1
"55899J",6,3
"55905M",1,2
"55906M",3,4
"55915P",4,3
"55916C",1,2
"55919V",3,6
"55920E",4,3
"55927R",2,1
"55937I",2,1
"55938M",2,3
"55944N",7,3
"55950Q",7,3
"55957I",2,3
"55961K",3,2
"55968H",4,3
"55975Z",7,2
"55977M",6,8
"55984F",12,3
"55988C",6,2
"56002E",7,2
"56007X",4,2
"56011L",6,2
"56014G",2,3
"56027K",2,5
"56035J",4,3
"56036B",8,3
"56039N",1,2
"56046W",8,2
"56047O",8,1
"56048H",5,3
"56052U",1,6
"56058F",3,2
"56067F",2,1
"56069L",2,1
"56077U",1,2
"56078U",2,1
"56085R",2,3
"56099A",2,1
"56114W",3,2
"56130A",2,14
"56131M",2,1
"56132G",7,2
"56134V",2,5
"56141S",3,8
"56150Z",6,2
"56152J",8,1
"56159Q",9,8
"56163Z",6,2
"56166R",3,5
"56173J",1,7
"56176S",2,1
"56181F",2,1
"56193F",1,2
"56196W",3,4
"56197M",6,2
"56198V",1,6
"56199J",1,2
"56203U",2,13
"56204N",6,2
"56207K",2,1
"56211J",2,6
"56213V",3,4
"56226S",4,2
"56230M",4,11
"56235S",1,2
"56236Q",12,3
"56241F",2,4
"56243O",2,3
"56244Q",2,6
"56247H",3,5
"56250I",6,1
"56259J",2,1
"56262C",2,1
"56268H",1,2
"56270P",1,2
"56275P",8,3
"56283E",4,8
"56284V",2,4
"56285N",3,2
"56297M",8,5
"56298Z",9,3
"56301O",2,1
"56311J",2,5
"56312B",5,2
"56313N",2,14
"56316P",9,3
"56325M",6,3
"56327H",1,2
"56335I",1,2
"56337R",8,2
"56338K",2,1
"56353F",9,3
"56354R",9,2
"56355X",1,6
"56359K",2,1
"56360M",2,3
"56364U",9,8
"56365V",8,3
"56372U",14,6
"56373J",2,6
"56375Q",6,7
"56377E",3,8
"56378B",6,1
"56401G",6,3
"56402P",1,2
"56409F",2,1
"56410G",7,3
"56412S",1,2
"56413I",6,3
"56421Z",3,2
"56422Q",6,2
"56426L",2,3
"56427U",2,1
"56450Q",5,3
"56451U",2,8
"56454H",2,1
"56455L",7,3
"56459G",7,3
"56462A",2,3
"56463W",6,3
"56467L",6,5
"56468H",2,6
"56500Q",2,7
"56507E",1,2
"56510R",1,8
"56514E",3,5
"56515F",6,2
"56516W",6,2
"56519V",2,3
"56529W",8,3
"56533N",5,2
"56534Z",2,5
"56538S",8,6
"56547Z",5,2
"56556K",3,6
"56560B",2,3
"56564N",2,1
"56565N",1,14
"56589I",5,2
"56590A",6,2
"56598O",6,2
"56599X",2,1
"56611P",7,6
"56619U",2,1
"56623O",14,8
"56624A",1,9
"56627M",2,3
"56634Q",4,12
"56636X",7,8
"56639X",2,1
"56652W",2,1
"56655Z",2,1
"56680K",5,3
"56684C",2,7
"56695P",2,1
"56700E",5,1
"56704H",4,16
"56709V",4,3
"56713M",2,8
"56714F",2,3
"56716A",9,8
"56721U",1,2
"56723F",1,2
"56725U",4,2
"56737C",4,3
"56745P",8,2
