"Permit.Number","Orig","Dest"
"55003Z",1,2
"55012B",3,1
"55018G",1,2
"55024M",14,6
"55025B",2,1
"55026S",1,2
"55033X",6,3
"55038F",2,3
"55040G",2,18
"55042A",3,7
"55043P",2,3
"55050L",10,6
"55053N",1,6
"55061X",1,3
"55065V",2,1
"55069I",2,18
"55076S",6,3
"55077E",1,6
"55083Z",2,18
"55086J",8,1
"55090Z",1,3
"55093F",8,1
"55094W",2,1
"55096M",4,6
"55097F",8,2
"55101X",3,2
"55102V",4,6
"55104G",4,3
"55109J",2,1
"55110G",3,6
"55113G",6,1
"55114A",14,3
"55115M",6,2
"55118X",2,6
"55121S",6,1
"55125N",10,6
"55130F",4,2
"55135L",1,2
"55141O",2,1
"55144Q",1,6
"55146B",1,6
"55150Q",2,5
"55154U",2,1
"55155M",3,2
"55156F",6,2
"55159X",1,2
"55161B",1,2
"55166W",1,2
"55169P",2,3
"55171A",1,18
"55175C",3,1
"55177M",2,1
"55180N",1,6
"55181G",14,6
"55182X",2,1
"55184I",14,1
"55185A",2,1
"55193N",2,3
"55195X",8,1
"55199R",2,3
"55200O",3,1
"55201H",1,3
"55213Q",3,7
"55222A",4,2
"55223R",4,3
"55227J",2,7
"55228Q",5,3
"55229N",5,3
"55230A",1,2
"55231R",8,18
"55235M",1,18
"55237F",1,6
"55238W",1,6
"55251S",7,10
"55253C",6,1
"55256N",3,10
"55261Z",2,4
"55263A",2,1
"55264B",5,3
"55265V",3,1
"55271N",1,2
"55272G",2,5
"55276E",2,14
"55278S",2,3
"55280C",3,6
"55285J",2,1
"55294M",2,9
"55304N",2,3
"55305H",2,1
"55309W",2,18
"55310B",2,1
"55311R",13,5
"55314V",5,4
"55327P",3,9
"55330W",4,3
"55343Q",14,1
"55345H",5,6
"55349B",6,8
"55350R",5,2
"55357J",14,1
"55362Q",3,5
"55363J",2,1
"55364K",5,2
"55366U",4,2
"55372R",1,6
"55377F",1,3
"55381X",1,6
"55382P",2,1
"55383I",1,8
"55386C",2,18
"55391X",8,3
"55393G",2,6
"55397G",3,5
"55399O",5,13
"55402Q",2,1
"55403B",1,18
"55405Z",2,8
"55406N",7,2
"55416L",6,3
"55420U",6,18
"55426H",3,9
"55429H",2,7
"55430G",2,3
"55434Q",2,1
"55435F",6,2
"55438O",2,3
"55442A",2,18
"55443G",2,8
"55445R",2,6
"55449K",6,4
"55450V",6,8
"55462A",2,3
"55466A",3,6
"55467R",3,6
"55476V",8,3
"55478L",2,6
"55479P",1,18
"55488E",1,2
"55490R",12,18
"55492S",2,1
"55493O",8,1
"55497G",1,6
"55498B",1,8
"55500V",4,3
"55505U",1,6
"55507M",1,8
"55521E",1,18
"55524G",1,2
"55533L",2,1
"55536N",1,2
"55540H",1,2
"55542Q",1,6
"55545L",1,18
"55546P",8,13
"55547E",1,2
"55555N",18,3
"55557H",8,3
"55560I",6,2
"55566H",3,2
"55575R",3,2
"55576F",2,1
"55578Q",2,1
"55581X",3,4
"55584K",1,18
"55592E",2,7
"55598K",5,6
"55603S",2,6
"55604V",7,3
"55605J",7,3
"55609E",2,3
"55610W",2,1
"55617L",1,18
"55619E",2,1
"55620A",3,2
"55621M",1,2
"55622H",7,3
"55628H",3,6
"55635K",6,7
"55636S",2,6
"55640P",2,1
"55646M",6,18
"55647K",7,3
"55651I",8,6
"55663G",2,6
"55666M",2,5
"55668C",3,1
"55669P",3,7
"55670L",3,2
"55673E",6,2
"55676K",1,6
"55680H",6,3
"55681F",2,3
"55682W",6,3
"55686I",5,3
"55687G",6,3
"55689G",2,18
"55690C",7,2
"55694F",4,2
"55695N",2,1
"55698S",2,1
"55699N",9,8
"55707K",9,3
"55711X",2,1
"55713F",14,1
"55720J",5,2
"55721V",2,1
"55731X",13,5
"55738R",3,7
"55747V",2,8
"55748N",1,2
"55750W",1,6
"55763W",1,8
"55764W",3,4
"55765M",2,7
"55769B",1,6
"55777L",6,1
"55780V",6,2
"55783R",1,2
"55786C",4,8
"55803V",2,3
"55804I",2,1
"55805E",2,1
"55809A",6,3
"55811J",7,3
"55812Z",2,1
"55818G",3,1
"55826W",6,8
"55827B",1,18
"55837E",1,3
"55840N",3,6
"55842R",8,3
"55846M",2,6
"55848W",1,6
"55855R",1,3
"55856I",7,2
"55868X",12,4
"55876G",3,6
"55878N",7,2
"55879K",2,7
"55881N",1,3
"55888S",4,3
"55892E",6,1
"55896B",1,6
"55897Z",3,7
"55901O",6,1
"55904Q",3,1
"55906M",1,6
"55911V",2,3
"55913G",18,6
"55916C",2,1
"55917A",4,1
"55922G",1,6
"55925M",2,3
"55930S",1,2
"55938M",3,13
"55940Q",8,3
"55947S",6,2
"55950Q",9,3
"55953V",13,10
"55954N",2,5
"55958G",7,3
"55963U",2,6
"55970M",7,3
"55971Z",1,6
"55974W",2,1
"55978R",10,6
"55986F",2,18
"55988C",6,2
"55991X",2,1
"55998Q",2,5
"56000N",2,18
"56002E",2,3
"56004N",7,2
"56006A",2,1
"56007X",2,3
"56010S",1,2
"56011L",1,6
"56013S",18,2
"56014G",6,2
"56018A",2,18
"56019C",3,7
"56024C",2,6
"56027K",5,3
