"Permit.Number","Orig","Dest"
"56467L",5,3
"56468H",6,1
"56473X",7,6
"56475F",2,3
"56477O",7,3
"56483P",1,2
"56486K",2,1
"56487P",2,8
"56492N",1,8
"56499X",3,2
"56507E",2,1
"56509B",4,1
"56515F",2,6
"56519V",3,7
"56526U",2,6
"56529W",3,2
"56538S",6,5
"56546H",5,3
"56554E",3,6
"56555R",6,3
"56556K",6,3
"56557A",8,3
"56564N",1,6
"56565N",14,1
"56566G",1,3
"56573X",5,1
"56576H",5,2
"56579W",3,10
"56580J",5,2
"56588N",7,2
"56589I",2,13
"56591K",7,9
"56593S",2,1
"56596B",7,9
"56603E",5,8
"56604R",2,6
"56610S",7,3
"56611P",6,7
"56614V",2,4
"56615G",7,6
"56618K",1,2
"56622U",10,3
"56636X",8,1
"56641M",6,2
"56646P",3,2
"56650R",2,3
"56652W",1,3
"56655Z",1,2
"56662A",8,6
"56663O",7,1
"56666U",4,2
"56671W",5,1
"56673P",18,3
"56675C",3,6
"56679L",1,2
"56687K",7,2
"56689M",1,6
"56692K",5,13
"56694P",1,2
"56704H",16,2
"56707A",2,1
"56711C",3,6
"56712U",2,4
"56714F",3,2
"56721U",2,1
"56723F",2,1
"56724C",7,4
"56728W",3,10
"56734Q",2,6
"56737C",3,10
"56741V",8,6
"56744X",8,1
"56745P",2,6
"56751H",6,2
"56752G",1,2
"56755K",3,2
"56757R",6,8
"56759A",7,6
"56773S",1,6
"56777N",1,14
"56779U",1,2
"56785S",1,2
"56790R",2,4
"56792W",1,3
"56795Z",2,1
"56796W",2,5
"56797N",13,3
"56799S",6,1
"56800H",3,2
"56818K",6,3
"56821E",3,2
"56822B",2,8
"56833E",1,2
"56840M",2,4
"56842W",6,3
"56844H",8,18
"56845Z",7,2
"56852W",6,8
"56855W",2,8
"56860I",4,6
"56867H",4,3
"56868Q",8,6
"56875M",3,2
"56876K",2,6
"56877A",3,5
"56880E",2,3
"56881I",1,2
"56882A",2,6
"56883C",7,3
"56884X",2,3
"56885K",2,3
"56891K",5,1
"56892L",2,6
"56896W",3,1
"56900F",6,2
"56902O",6,1
"56905X",10,3
"56906U",3,1
"56907I",10,3
"56911U",2,6
"56918X",10,3
"56927Z",4,3
"56935J",13,3
"56943X",1,4
"56944P",4,8
"56947R",3,2
"56948W",2,8
"56954I",2,1
"56955G",5,6
"56961J",2,4
"56968W",5,2
"56971B",1,3
"56979H",3,1
"56988R",2,7
"56999Q",3,4
"57014K",3,7
"57015K",6,5
"57021Z",10,6
"57022M",2,10
"57027R",8,4
"57031C",6,3
"57033R",2,7
"57035F",13,3
"57037H",6,1
"57042S",7,3
"57046V",11,3
"57051Z",7,2
"57054G",2,6
"57057L",2,3
"57068B",4,3
"57070W",2,1
"57072Q",3,6
"57073F",7,3
"57092P",2,6
"57096B",5,3
"57099J",7,8
"57103C",2,1
"57104X",8,2
"57106G",3,9
"57109R",3,6
"57118V",6,8
"57130Z",6,3
"57131I",3,10
"57134E",10,2
"57135H",7,3
"57139W",10,2
"57142X",6,3
"57146F",6,2
"57156C",2,6
"57161P",3,2
"57162I",3,6
"57173N",7,8
"57178O",10,1
"57179U",3,8
"57188I",4,6
"57196R",7,8
"57197L",4,5
"57199V",3,2
"57201C",7,3
"57202Z",7,3
"57204K",3,5
"57207J",3,6
"57211I",5,6
"57218F",10,3
"57219O",2,9
"57220K",3,2
"57226R",3,4
"57231E",2,6
"57238X",8,1
"57242N",8,6
"57243I",3,15
"57245M",2,6
"57247W",1,2
"57258P",6,2
"57261W",4,3
"57262O",8,2
"57268S",2,3
"57269L",1,2
"57273B",2,3
"57275Q",3,14
"57277L",2,1
"57279J",6,3
"57284U",2,8
"57292K",4,18
"57299F",4,1
"57301R",7,6
"57315G",2,1
"57318N",4,1
"57319I",4,3
"57323Z",1,2
"57332B",3,7
"57334O",3,5
"57335J",1,2
"57336P",1,2
"57340O",9,2
"57345Q",2,3
"57348B",2,1
"57357M",4,6
"57361G",4,7
"57362A",4,6
"57363P",2,4
"57365W",7,3
"57367B",5,3
"57370C",2,1
"57371E",2,16
"57372R",3,7
"57377V",10,3
"57378A",10,1
"57382P",8,7
"57387A",2,1
"57398V",4,3
"57401S",8,5
"57402G",3,6
"57407R",10,2
"57420G",4,3
"57433Q",3,10
"57434F",10,2
"57435M",2,3
"57440I",10,1
"57442L",6,2
"57447J",3,10
"57449C",8,3
"57454S",8,18
"57455C",2,1
"57461Q",3,6
"57469C",2,6
"57478J",4,3
"57480O",7,3
"57491Z",2,1
"57492U",1,11
"57500K",1,2
"57501K",3,13
"57504P",2,3
"57508I",3,4
"57509A",3,2
"57518G",3,6
"57521B",8,3
"57524A",1,7
"57525B",6,5
"57531R",10,8
"57534S",2,18
"57535B",3,4
"57536Q",4,6
"57538B",3,2
"57539S",4,3
"57543H",2,1
"57547E",2,3
"57556H",1,6
"57576O",6,2
"57577U",8,6
"57579K",2,3
"57582C",5,6
"57583X",1,2
"57585U",10,2
"57587X",2,6
"57591Q",6,10
"57603W",3,7
"57604N",1,2
"57609A",3,2
"57611J",1,2
"57612J",5,3
"57619X",3,8
"57620R",1,2
"57621P",6,2
"57624J",2,1
"57626C",4,1
"57648F",2,7
"57650E",2,6
"57668V",7,1
"57669I",6,2
"57676I",3,5
"57679S",2,1
"57682U",6,2
"57683H",1,18
"57690Z",5,18
"57691W",6,3
"57695S",13,5
"57697B",6,7
"57701E",12,3
"57706R",4,3
"57708A",2,3
"57715P",8,1
"57716A",1,16
"57719C",2,6
"57724N",1,2
