"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic","CFEC"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,105,0,72,50,0,0,76,0,0,0,0,0,0,0,0,0,0
0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,92,0,347,160,0,0,100,0,0,0,0,0,0,0,0,0,47
0,53,0,125,755,0,0,33,0,0,0,0,0,0,0,0,0,377
0,0,0,0,0,63,0,57,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,131,33,85,44,33,0,570,0,0,0,39,0,35,0,0,0,35
0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
0,0,0,52,0,0,0,103,0,0,0,188,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,61
0,0,0,0,0,0,0,51,0,0,0,0,0,211,0,0,0,51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
