"Permit.Number","Orig","Dest"
"55000S",1,2
"55013W",2,6
"55017N",2,1
"55019X",1,2
"55020R",3,6
"55026S",1,3
"55033X",6,2
"55034H",14,1
"55036U",2,1
"55037O",6,7
"55042A",2,3
"55048C",1,6
"55050L",1,8
"55052V",1,2
"55054G",3,2
"55056P",3,8
"55076S",3,4
"55083Z",1,2
"55084V",1,2
"55086J",1,6
"55088S",1,2
"55093F",1,8
"55094W",1,2
"55096M",3,2
"55101X",1,3
"55115M",1,2
"55124B",4,13
"55138N",8,1
"55141O",6,1
"55143Z",1,3
"55150Q",6,5
"55151J",2,1
"55154U",4,2
"55155M",4,3
"55157S",2,3
"55159X",2,8
"55161B",2,4
"55170U",5,13
"55174K",8,1
"55184I",3,1
"55186R",2,18
"55187K",1,8
"55200O",2,3
"55202Z",2,1
"55204J",2,1
"55213Q",2,7
"55220K",6,3
"55224K",6,4
"55240C",1,2
"55245O",2,6
"55251S",2,7
"55260X",2,1
"55261Z",3,2
"55270V",2,1
"55284N",2,1
"55285J",6,2
"55288L",2,1
"55313U",1,2
"55314V",2,7
"55316W",1,3
"55323R",2,1
"55324S",3,4
"55326X",2,1
"55328N",2,6
"55334Q",6,2
"55338X",2,1
"55339X",2,1
"55341Z",2,8
"55351K",5,2
"55361H",5,13
"55363J",1,2
"55365W",2,1
"55371G",4,3
"55376E",2,3
"55382P",6,2
"55387C",1,8
"55391X",3,8
"55393G",1,2
"55396A",2,1
"55402Q",1,2
"55403B",2,1
"55412Q",12,3
"55413E",2,1
"55446A",2,7
"55447W",2,3
"55453E",2,3
"55454H",10,3
"55456A",2,1
"55460G",2,10
"55464P",3,8
"55465I",7,8
"55469A",2,3
"55472H",3,2
"55474L",1,6
"55478L",6,2
"55479P",2,1
"55482Z",1,8
"55483Q",1,8
"55493O",2,8
"55498B",1,2
"55501A",1,2
"55504K",2,6
"55506Q",1,2
"55507M",1,2
"55509C",6,2
"55515A",5,1
"55520P",5,13
"55525U",1,2
"55527F",2,1
"55528C",3,6
"55529U",14,2
"55538X",2,1
"55539M",1,8
"55542Q",2,1
"55546P",5,6
"55557H",9,3
"55559Q",3,6
"55566H",8,3
"55568W",4,2
"55578Q",7,2
"55580X",1,2
"55593A",7,6
"55594P",2,1
"55595I",1,3
"55599C",2,1
"55602O",4,1
"55603S",1,2
"55605J",7,3
"55608P",7,5
"55609E",5,7
"55612H",2,1
"55619E",1,2
"55625J",7,2
"55626B",7,2
"55628H",8,7
"55630A",4,3
"55640P",1,2
"55641I",2,1
"55646M",2,6
"55649U",7,6
"55651I",2,8
"55658Z",2,1
"55668C",3,6
"55672S",3,6
"55679M",2,1
"55680H",2,3
"55683O",3,7
"55685Q",7,2
"55687G",12,3
"55688V",2,1
"55689G",6,1
"55695N",1,2
"55696J",2,1
"55698S",2,1
"55701A",2,1
"55707K",14,3
"55709U",8,2
"55714A",6,2
"55719R",12,2
"55720J",3,5
"55721V",1,2
"55726I",1,2
"55728O",2,13
"55730S",1,2
"55733E",3,8
"55735S",4,2
"55738R",3,2
"55739N",5,2
"55742J",6,1
"55751O",2,1
"55761R",2,6
"55763W",1,2
"55767Q",2,3
"55770R",2,1
"55773U",2,1
"55783R",2,1
"55786C",1,4
"55798I",6,1
"55801B",1,2
"55803V",5,7
"55810L",5,3
"55818G",2,7
"55831I",3,1
"55832A",2,3
"55847F",1,2
"55848W",2,1
"55851E",4,3
"55853N",4,8
"55864E",3,12
"55875P",3,6
"55883B",6,3
"55888S",4,3
"55889N",4,6
"55894W",6,3
"55896B",2,1
"55899J",6,3
"55905M",1,2
"55906M",3,4
"55915P",4,3
"55916C",1,2
"55918Z",10,3
"55919V",3,6
"55920E",4,3
"55927R",2,1
"55937I",2,1
"55938M",2,3
"55944N",7,3
"55948L",3,4
"55950Q",7,3
"55952V",5,3
"55957I",2,3
"55961K",3,2
"55968H",4,3
"55975Z",7,2
"55977M",6,8
"55984F",12,3
"55988C",6,2
"55993K",7,3
"55998Q",5,2
"56002E",9,2
"56004N",7,3
"56007X",4,2
"56011L",6,2
"56014G",2,3
"56020W",5,3
"56021O",15,2
"56022B",8,2
"56025J",3,6
"56027K",2,5
"56035J",4,3
"56036B",8,3
"56039N",1,2
"56046W",8,2
"56047O",8,1
"56048H",5,3
"56052U",1,6
"56057F",7,2
"56058F",3,2
"56063M",7,2
"56067F",2,1
"56069L",2,1
"56071A",8,3
"56072R",8,3
"56077U",1,2
"56078U",2,1
"56085R",2,3
"56087G",3,4
"56090E",9,7
"56099A",2,1
"56107H",3,2
"56111U",3,6
"56114W",3,2
"56121U",3,7
"56128H",1,2
"56130A",2,14
"56131M",2,1
"56132G",9,2
"56134V",2,5
"56141S",3,8
"56150Z",6,2
"56152J",8,1
"56153X",7,2
"56154V",14,3
"56159Q",10,8
"56163Z",6,2
"56166R",3,5
"56170U",8,6
"56173J",1,7
"56176S",2,1
"56181F",2,1
"56182Z",7,3
"56191Z",7,1
"56193F",1,2
"56196W",3,4
"56197M",6,2
"56198V",1,6
"56199J",1,2
"56203U",2,13
"56204N",6,2
"56207K",2,1
"56211J",2,6
"56212V",2,1
"56213V",3,4
"56226S",4,2
"56230M",4,7
"56235S",1,2
"56236Q",12,3
"56241F",2,4
"56243O",2,3
"56244Q",2,6
"56247H",3,5
"56250I",6,1
"56259J",2,1
"56262C",2,1
"56264A",3,2
"56268H",1,2
"56270P",1,2
"56275P",8,3
"56279C",2,9
"56283E",4,8
"56284V",2,4
"56285N",3,2
"56297M",8,5
"56298Z",10,3
"56301O",2,1
"56309V",8,1
"56310U",3,6
"56311J",2,5
"56312B",5,2
"56313N",2,14
"56316P",10,3
"56318G",5,10
"56325M",6,3
"56327H",1,2
"56335I",1,2
"56336U",3,2
"56337R",8,2
"56338K",2,1
