"Other countries","Other US states","Oregon","Washington","Southeast","Copper River","Prince William Sound","Cook Inlet","Kodiak","Chignik","Alaska Peninsula and Aleutian Islands","Bristol Bay","Kuskokwim","Yukon","Norton Sound","Kotzebue","Arctic","CFEC"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,127,0,88,49,0,0,112,0,0,0,0,0,0,0,0,0,0
0,0,47,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
0,102,0,326,168,0,0,114,0,0,0,0,0,0,0,0,0,75
0,80,0,93,829,0,0,72,0,0,0,0,0,0,0,0,0,156
0,0,0,0,0,72,0,61,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,110,0,108,49,0,0,722,0,0,0,40,0,48,0,0,0,46
0,0,0,0,0,0,0,45,111,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
0,0,0,40,0,0,0,84,0,0,0,214,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,81
0,0,0,0,0,0,0,44,0,0,0,0,0,245,0,0,0,87
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
