"Permit.Number","Orig","Dest"
"55186R",2,18
"55275Q",18,18
"55569G",18,18
"55839Q",18,18
"56673P",18,18
"57845K",18,18
"58218X",18,18
"58972N",18,18
"59411X",3,18
"59924S",8,18
"60112U",18,18
"60499L",18,18
"60570E",18,18
"60863R",18,18
"60916U",18,18
"61295X",3,18
"61412X",18,18
"61874K",18,18
"61898C",3,18
"62128X",18,18
"62149L",18,18
"62215O",18,18
"62217Z",3,18
"62263O",10,18
"62332Q",3,18
"62374G",18,18
"62418H",12,18
"62439U",18,18
"62541C",14,18
"62602U",10,18
"62918A",18,18
"63078G",10,18
"63103C",17,18
"63108O",17,18
"63356S",18,18
"63381I",10,18
"63446F",18,18
"63496L",17,18
"63563Q",12,18
"63673N",14,18
"63704F",18,18
"63913K",3,18
"64020E",14,18
"64023N",3,18
"64092N",10,18
"64159X",18,18
"64212I",18,12
"64225G",10,18
"64354R",12,18
"64357U",18,18
"64407O",18,18
"64422A",18,18
"64652L",4,18
"64677Q",18,18
"64713M",2,18
"64828O",6,18
"64916P",4,18
"64924E",4,18
"64978M",3,18
"65110P",18,2
"65146N",4,18
"65169C",18,18
"65177Z",4,18
"65233C",17,18
"65269P",10,18
"65273W",18,11
"65280B",14,18
"65288H",18,18
"65320G",4,18
"65351O",18,12
"65605V",18,4
"65606F",18,5
"65607X",18,7
"65609K",18,1
"65610B",18,3
"65611M",18,9
"65612Q",18,4
"65613Z",18,6
"65614X",18,7
"65615V",18,4
"65616B",18,3
"65617G",18,4
"65618X",18,4
"65619P",18,4
"65620C",18,10
"65621Q",18,14
"65622Q",18,2
"65623J",18,3
"65629G",18,3
"65630C",18,4
"65631U",18,12
"65632X",18,3
"65633H",18,4
"65634Z",18,2
"65635O",18,2
"65636E",18,3
"65637M",18,9
"65638F",18,9
"65639L",18,4
"65640C",18,2
"65641E",18,3
"65642M",18,3
"65643C",18,6
"65646V",18,5
"65648A",18,14
"65649J",18,4
"65650A",18,4
"65655K",18,3
"65656C",18,16
"65657O",18,3
"65760Z",18,3
"65791G",18,14
"65792I",18,2
"65803U",18,14
"65810Z",18,4
"65811Q",18,4
"65815E",18,7
"65817X",18,3
"65818P",18,15
"65819G",18,12
"65820Z",18,4
"65821Q",18,4
"65822H",18,2
"65823B",18,4
"65824S",18,4
"65825J",18,12
"65826E",18,4
"65827S",18,4
"65828L",18,2
"65830W",18,4
"65831O",18,13
"65832F",18,12
"65833Z",18,6
"65834O",18,12
"65838L",18,4
"65839E",18,4
"65840R",18,12
"65841M",18,4
"65842C",18,12
"65843U",18,4
"65844O",18,6
"65845F",18,14
"65846Z",18,4
"65847Q",18,4
"65848J",18,4
"65849B",18,3
"65850N",18,6
"65851K",18,4
"65852C",18,4
"65853U",18,18
"65854M",18,3
"65855F",18,3
"65856W",18,9
"65857O",18,4
"65858H",18,1
"65859Z",18,14
"65860P",18,4
"65861I",18,3
"65862A",18,12
"65863R",18,14
"65864K",18,12
"65865C",18,18
"65866U",18,12
"65867M",18,18
"65868F",18,4
"65869W",18,3
"65870N",18,3
"65871G",18,2
"65872X",18,4
"65873P",18,4
"65874I",18,4
"65875A",18,4
"65876R",18,4
"65877K",18,4
"65878C",18,4
"65879U",18,3
"65880L",18,3
"65881E",18,4
"65882V",18,2
"65883N",18,4
"65884G",18,18
"65885X",18,4
"65886P",18,4
"65887I",18,4
"65888A",18,6
"65889R",18,18
"65890J",18,3
"65891B",18,4
"65892S",18,4
"65893L",18,4
"65894E",18,6
"65895S",18,3
"65896N",18,4
"65897G",18,4
"65899N",18,12
"65901C",18,2
"65902U",18,4
"65903M",18,4
"65904F",18,3
"65905Z",18,3
"65906O",18,8
"65907J",18,4
"65910I",18,4
"65911Q",18,1
"65913K",18,4
"65915U",18,17
"65917F",18,4
"65918W",18,4
"65919Q",18,4
"65922P",18,12
"65928W",18,4
"65931V",18,14
"65932K",18,7
"65941S",18,3
"65944V",18,12
"65976L",18,2
"66266Q",18,4
"66267J",18,4
"66268B",18,4
"66274F",18,4
"66280G",18,4
"66281X",18,12
"66293G",18,4
"66294X",18,12
"66298R",18,4
"66299K",18,5
"66300H",18,12
"66303J",18,8
"66331U",18,4
"66349W",18,3
"66350X",18,6
"66351N",18,4
"66382P",18,2
"66394X",18,1
"66405N",18,3
"66406L",18,1
"66408F",18,12
"66411G",18,4
"66414F",18,3
"66415L",18,14
"66416R",18,1
"66418W",18,1
"66419U",18,14
"66420G",18,1
"66424I",18,4
"66427I",18,4
"66428A",18,4
