"Permit.Number","Orig","Dest"
"55186R",18,18
"55275Q",18,18
"55555N",2,18
"55569G",18,1
"55734N",1,18
"55839Q",18,18
"55913G",2,18
"56013S",7,18
"56084E",4,18
"56259J",1,18
"56264A",2,18
"56424B",6,18
"56441L",5,18
"56444N",5,18
"56673P",18,3
"56844H",8,18
"57292K",4,18
"57454S",8,18
"57534S",2,18
"57683H",1,18
"57690Z",5,18
"57845K",18,18
"57943W",6,18
"58183J",3,18
"58218X",18,18
"58343K",2,18
"58371W",1,18
"58671U",3,18
"58796U",2,18
"58809W",3,18
"58972N",18,1
"59238O",2,18
"59296S",5,18
"59314I",5,18
"59324G",2,18
"59411X",18,18
"59421R",3,18
"59491C",3,18
"59557F",14,18
"59579X",3,18
"59924S",18,18
"60112U",18,18
"60331O",3,18
"60382I",12,18
"60499L",18,18
"60517C",6,18
"60570E",18,18
"60645J",2,18
"60863R",18,18
"60907O",4,18
"60916U",18,18
"61030B",3,18
"61057S",3,18
"61295X",18,18
"61412X",18,18
"61573Q",10,18
"61612R",3,18
"61638R",3,18
"61707P",3,18
"61874K",18,18
"61898C",18,18
"61965N",4,18
"62128X",18,18
"62149L",18,18
"62198I",2,18
"62215O",18,18
"62216H",8,18
"62217Z",18,18
"62247P",12,18
"62263O",18,18
"62325Q",10,18
"62332Q",18,18
"62342U",17,18
"62351R",12,18
"62362G",17,18
"62366A",10,18
"62374G",18,18
"62418H",18,18
"62439U",18,18
"62449P",10,18
"62488Z",17,18
"62493R",14,18
"62541C",18,18
"62576R",12,18
"62577R",17,18
"62579U",12,18
"62602U",18,18
"62617H",12,18
"62626K",17,18
"62697F",14,18
"62742F",17,18
"62752C",17,18
"62808S",12,18
"62824U",12,18
"62831K",14,18
"62840S",10,18
"62842G",4,18
"62866E",3,18
"62891C",12,18
"62918A",18,18
"62947Z",10,18
"62972I",12,18
"63015S",12,18
"63027B",12,18
"63060S",10,18
"63078G",18,18
"63103C",18,18
"63108O",18,18
"63118U",14,18
"63152Q",6,18
"63168Q",10,18
"63179J",12,18
"63198M",12,18
"63214Q",10,18
"63222O",6,18
"63238Z",14,18
"63266A",17,18
"63284S",14,18
"63294B",12,18
"63314A",10,18
"63341B",3,18
"63344S",10,18
"63356S",18,18
"63381I",18,18
"63396R",10,18
"63401J",10,18
"63427L",12,18
"63429E",14,18
"63431M",17,18
"63439S",12,18
"63444U",14,18
"63446F",18,18
"63460E",10,18
"63492H",10,18
"63496L",18,18
"63497V",12,18
"63509Q",17,18
"63513C",12,18
"63516F",12,18
"63558V",14,18
"63563Q",18,18
"63575Z",12,18
"63576Q",12,18
"63579J",14,18
"63606N",10,18
"63612Q",10,18
"63633F",10,18
"63639J",10,18
"63641U",12,18
"63645M",10,18
"63664R",12,18
"63673N",18,18
"63676P",14,18
"63696S",10,18
"63704F",18,18
"63707Q",12,18
"63714C",10,18
"63728M",17,18
"63731V",14,18
"63736A",17,18
"63745V",10,18
"63752S",12,18
"63776E",14,18
"63784W",12,18
"63793K",3,18
"63796M",17,18
"63800B",10,18
"63821Q",12,18
"63836B",12,18
"63840C",17,18
"63842M",17,18
"63845H",12,18
"63855M",17,18
"63857M",10,18
"63877A",14,18
"63889P",10,18
"63903O",12,18
"63904B",14,18
"63905Z",12,18
"63910K",12,18
"63913K",18,18
"63938R",10,18
"63939U",17,18
"63947U",14,18
"63969Q",14,18
"63979B",10,18
"63995F",12,18
"63997F",3,18
"64000I",12,18
"64020E",18,18
"64023N",18,18
"64029K",12,18
"64031J",14,18
"64033S",10,18
"64036E",10,18
"64038B",3,18
"64041X",9,18
"64046L",17,18
"64067Q",12,18
"64070M",14,18
"64071F",14,18
"64081G",3,18
"64089U",17,18
"64090L",10,18
"64092N",18,18
"64093N",10,18
"64100Z",7,18
"64108A",14,18
"64115V",14,18
"64142P",3,18
"64159X",18,18
"64168R",12,18
"64184S",12,18
"64207Q",14,18
"64212I",12,18
"64216C",12,18
"64225G",18,18
"64278S",3,18
"64298O",14,18
"64303L",12,18
"64310R",14,18
"64313Q",3,18
"64318V",12,18
"64319V",17,18
"64323H",12,18
"64344U",12,18
"64348O",12,18
"64354R",18,18
"64357U",18,18
"64365P",6,18
"64375N",17,18
"64376G",17,18
"64390W",17,18
"64391O",17,18
"64407O",18,18
"64409S",14,18
"64412C",4,18
"64420L",10,18
"64422A",18,18
"64425C",12,18
"64433H",5,18
"64652L",18,18
"64653B",12,18
"64667K",2,18
"64677Q",18,18
"64685H",2,18
"64713M",18,18
"64717P",2,18
"64739V",4,18
"64740M",4,18
"64768R",10,18
"64781V",4,18
"64790B",4,18
"64828O",18,18
"64833F",2,18
"64903P",4,18
"64910L",4,18
"64916P",18,18
"64917Z",5,18
"64924E",18,18
"64959J",2,18
"64978M",18,18
"65006L",12,18
"65067N",10,18
"65075L",17,18
"65076V",12,18
"65121O",14,18
"65131B",3,18
"65146N",18,18
"65169C",18,18
"65175O",4,18
"65177Z",18,18
"65178W",17,18
"65182P",3,18
"65184A",3,18
"65195P",6,18
"65198R",17,18
"65200H",17,18
"65202Q",17,18
"65204N",14,18
"65205S",6,18
"65216V",14,18
"65217N",14,18
"65233C",18,18
"65236U",10,18
"65239W",6,18
"65241G",10,18
"65242X",10,18
"65249U",10,18
"65250L",14,18
"65262H",14,18
"65269P",18,18
"65280B",18,18
"65282L",14,18
"65288H",18,18
"65289Z",14,18
"65290M",3,18
"65293O",17,18
"65299L",12,18
"65301A",12,18
"65309O",12,18
"65320G",18,18
"65323N",17,18
"65328R",12,18
"65345L",12,18
"65351O",12,18
"65353Z",12,18
"65354Q",12,18
"65401L",4,18
"65423Q",9,18
"65424J",4,18
"65429V",4,18
"65581U",14,18
"65585U",4,18
"65586M",12,18
"65615V",4,18
"65621Q",14,18
"65853U",18,18
"65859Z",14,18
"65864K",12,18
"65865C",18,18
"65867M",18,18
"65878C",4,18
"65883N",4,18
"65884G",18,2
"65886P",4,18
"65889R",18,18
"65897G",4,18
"65907J",4,18
"66394X",1,18
"66586G",14,18
"66589I",14,18
"66592J",8,18
"66594S",14,18
"66595L",14,18
"66597V",14,18
"66602A",17,18
"66610A",6,18
"66801M",14,18
"66805H",14,18
"66811K",14,18
"66812C",14,18
"66814U",6,18
"66844N",4,18
"66962G",18,6
"66963N",18,3
"66964P",18,4
"66967R",18,4
"66968K",18,4
"66974N",18,3
"66975G",18,3
"66977K",18,1
"66978C",18,1
"66979U",18,8
"66980S",18,4
"66981E",18,1
"66982V",18,1
"66983N",18,1
"66984G",18,1
"66986P",18,2
"66987N",18,4
"66988A",18,1
"66989R",18,2
"66990J",18,1
"66991X",18,1
"66992S",18,1
"66993L",18,1
"66994E",18,1
"66996K",18,1
"66997L",18,2
"67001Q",18,3
"67002J",18,1
"67003B",18,1
"67004Z",18,4
"67006E",18,1
"67300G",18,5
"67307W",18,18
"67308O",18,18
"67320B",18,4
"67322L",18,3
"67323E",18,3
"67324V",18,12
"67325N",18,4
"67326G",18,4
"67327X",18,4
"67337X",18,4
"67340W",18,18
"67344C",18,2
"67347N",18,1
"67348L",18,18
"67349X",18,3
"67350U",18,4
"67507U",18,4
"67539X",18,8
"67542S",18,2
"67545B",18,3
"67569Q",18,4
"67570I",18,4
"67590E",18,4
"67594X",18,7
"67825B",18,3
"67872N",18,2
"67873L",18,3
"67874E",18,4
"67875V",18,4
"67876N",18,3
"68031O",18,4
"68057O",18,9
"68067M",18,8
"68069W",18,3
"68074I",18,4
"68075U",18,3
"68076R",18,14
"68123K",18,4
"68154M",18,1
"68161S",18,6
"68167V",18,14
"68173Z",18,3
"68174J",18,3
"68176E",18,4
"68179E",18,4
"68180U",18,2
"68181M",18,4
"68191F",18,3
"68192C",18,4
"68296I",18,3
"68317Z",18,4
"68318S",18,4
"68328J",18,1
"68331S",18,1
"68340V",18,5
"68754O",18,5
"68757A",18,4
"68758R",18,1
"68827P",18,3
"68828I",18,4
"68838G",18,4
"68848E",18,4
"68862U",18,4
"68870I",18,4
"68871C",18,1
"68881X",18,4
"68902C",18,9
"68903P",18,9
"68904B",18,4
"68905S",18,6
"68906B",18,14
"69044Z",18,14
"69045W",18,1
"69047G",18,14
"69050O",18,10
"69052B",18,12
"69096O",18,3
"69107V",18,18
"69126K",18,18
"69184F",18,18
"69200K",18,18
"69225W",18,18
"69396Q",18,18
"97840H",2,18
"97841Z",1,18
"97842Q",18,18
"97844B",1,18
"97845S",18,18
"97847E",18,18
"97848V",1,18
"97884R",1,18
"97915J",1,18
"97944K",2,18
"97945C",1,18
"97968A",12,18
"98038C",1,18
"98048A",2,18
"98090A",8,18
"98094U",6,18
"98110B",18,18
"98126E",1,18
"98127V",1,18
"98141M",1,18
"98142F",1,18
"98161I",1,18
"98174I",1,18
"98208B",1,18
"98230G",1,18
"98231X",1,18
"98232P",1,18
"98244X",1,18
"98249K",1,18
"98250B",1,18
"98282F",18,18
"98283W",1,18
"98296W",1,18
"98298H",1,18
"98314N",1,18
"98321J",1,18
"98330O",1,18
"98357H",18,18
"98391S",1,18
"98393E",1,18
"98410C",1,18
"98411U",18,18
"98413F",18,18
"98419J",1,18
"98449C",1,18
"98454N",1,18
"98468G",1,18
"98469X",16,18
"98495W",1,18
"98497H",1,18
"98522S",1,18
"98534B",2,18
"98540F",1,18
"98546J",18,18
"98547B",1,18
"98548S",18,18
"98549L",18,18
"98550C",18,18
"98551U",18,18
"98552M",1,18
"98553F",1,18
"98554W",18,18
"98555O",18,18
"98556H",18,18
"98557Z",18,18
"98558Q",18,18
"98559J",18,18
"98561R",1,18
"98564U",1,18
"98565M",18,18
"98566F",1,18
"98570X",1,18
"98573A",18,18
"98574R",1,18
"98575K",18,18
"98576C",18,18
"98579F",1,18
"98580V",14,18
"98581N",18,18
"98584P",1,18
"98587R",18,18
"98589C",18,18
"98591L",1,18
"98592E",18,18
"98594N",18,18
"98595G",18,18
"98597P",1,18
"98599A",1,18
"98600W",1,18
"98602H",18,18
"98605J",14,18
"98606B",1,18
"98607S",18,18
"98609E",1,18
"98611M",18,18
"98612F",18,18
"98615H",18,18
"98620R",18,18
"98621K",18,18
"98622C",1,18
"98623U",18,18
"98624M",18,18
"98625F",1,18
"98627O",18,18
"98628H",18,18
"98630P",18,18
"98631I",1,18
"98632A",18,18
"98634K",18,18
"98635C",18,18
"98636U",18,18
"98637M",1,18
"98639W",2,18
"98640N",1,18
"98642X",18,18
"98643P",18,18
"98644I",2,18
"98647K",18,18
"98648C",18,18
"98649U",18,18
"98650L",1,18
"98651E",18,18
"98652V",1,18
"98653N",18,18
"98655X",18,18
"98656P",18,18
"98658A",18,18
"98659R",1,18
"98661B",18,18
"98663L",18,18
"98664E",1,18
"98665V",3,18
"98666N",18,18
"98667G",1,18
"98669P",18,18
"98670H",18,18
"98671Z",1,18
"98672Q",18,18
"98673J",18,18
"98674B",18,18
"98678V",18,18
"98679N",1,18
"98682O",2,18
"98683H",18,18
"98684Z",18,18
"98685Q",18,18
"98686J",18,18
"98688S",6,18
"98689L",18,18
"98690C",1,18
"98691U",18,18
"98694W",18,18
"98696H",18,18
"98697Z",1,18
"98699J",18,18
"98701X",1,18
"98702P",18,18
"98703I",18,18
"98704A",18,18
"98707C",1,18
"98709M",18,18
"98710E",18,18
"98711V",1,18
"98712N",18,18
"98713G",3,18
"98715P",1,18
"98716I",1,18
"98717A",6,18
"98718R",1,18
"98719K",18,18
"98720B",18,18
"98721S",18,18
"98722L",18,18
"98723E",1,18
"98724V",18,18
"98725N",1,18
"98726G",18,18
"98727X",18,18
"98728P",18,18
"98729I",18,18
"98730Z",18,18
"98732J",18,18
"98733B",18,18
"98734S",18,18
"98735L",18,18
"98736E",18,18
"98737V",18,18
"98738N",18,18
"98739G",1,18
"98740W",18,18
"98741O",1,18
"98742H",1,18
"98743Z",1,18
"98744Q",18,18
"98747S",18,18
"98748L",18,18
"98750U",18,18
"98751M",18,18
"98752F",18,18
"98753W",1,18
"98754O",18,18
"98755H",18,18
"98756Z",18,18
"98761K",18,18
"98763U",18,18
"98765F",18,18
"98766W",5,18
"98768H",18,18
"98770P",3,18
"98771I",1,18
"98773R",18,18
"98774K",18,18
"98776U",18,18
"98777M",18,18
"98781G",1,18
"98783P",18,18
"98786R",18,18
"98788C",18,18
"98789U",18,18
"98790L",6,18
"98791E",1,18
"98792V",18,18
"98794G",18,18
"98795X",1,18
"98796P",1,18
"98798A",18,18
"98799R",18,18
"98800O",18,18
"98801H",1,18
"98802Z",1,18
"98803Q",18,18
"98804J",1,18
"98805B",2,18
"98806S",18,18
"98808E",18,18
"98810M",18,18
"98811F",18,18
"98812W",1,18
"98813O",1,18
"98814H",18,18
"98816Q",18,18
"98817J",18,18
"98818B",18,18
"98819S",18,18
"98820K",1,18
"98822U",1,18
"98823M",2,18
"98825W",18,18
"98826O",18,18
"98829Q",1,18
"98830I",18,18
"98831A",18,18
"98832R",18,18
"98833K",18,18
"98834C",18,18
"98835U",1,18
"98837F",18,18
"98840G",1,18
"98841X",18,18
"98842P",1,18
"98843I",1,18
"98845R",1,18
"98846K",18,18
"98847C",18,18
"98848U",18,18
