"Permit.Number","Orig","Dest"
"63492H",18,10
"63496L",18,18
"63497V",18,18
"63499V",10,18
"63509Q",18,18
"63513C",18,18
"63515H",14,18
"63516F",18,18
"63519W",14,18
"63520N",14,18
"63549P",14,18
"63552Q",12,18
"63558V",18,18
"63563Q",18,12
"63567L",12,18
"63575Z",18,18
"63576Q",18,18
"63579J",18,18
"63592E",3,18
"63594C",12,18
"63606N",18,10
"63612Q",18,10
"63616L",10,18
"63618V",10,18
"63631U",3,18
"63633F",18,10
"63639J",18,10
"63641U",18,18
"63645M",18,18
"63656Z",14,18
"63664R",18,18
"63673N",18,18
"63676P",18,18
"63696S",18,10
"63698E",10,18
"63702F",12,18
"63704F",18,18
"63707Q",18,18
"63711A",3,18
"63713K",10,18
"63714C",18,18
"63718O",17,18
"63725R",3,18
"63728M",18,18
"63729I",14,18
"63731V",18,18
"63734I",3,18
"63736A",18,18
"63740G",14,18
"63745V",18,18
"63752S",18,18
"63754E",12,18
"63759N",6,18
"63765F",14,18
"63771Q",14,18
"63776E",18,18
"63784W",18,18
"63787S",14,18
"63793K",18,18
"63796M",18,18
"63800B",18,10
"63802N",3,18
"63817X",12,18
"63821Q",18,18
"63836B",18,18
"63840C",18,18
"63842M",18,18
"63845H",18,18
"63855M",18,18
"63857M",18,18
"63864K",12,18
"63871N",17,18
"63877A",18,18
"63883I",14,18
"63889P",18,10
"63894B",10,18
"63899N",14,18
"63901F",12,18
"63903O",18,18
"63904B",18,18
"63905Z",18,18
"63910K",18,12
"63913K",18,10
"63934A",12,18
"63938R",18,10
"63939U",18,18
"63947U",18,14
"63957O",5,18
"63964S",12,18
"63966S",14,18
"63967P",14,18
"63969Q",18,18
"63979B",18,10
"63985S",1,18
"63987Q",12,18
"63995F",18,18
"63997F",18,18
"63999Z",12,18
"64000I",18,18
"64020E",18,18
"64023N",18,18
"64029K",18,18
"64031J",18,18
"64033S",18,18
"64034S",3,18
"64036E",18,10
"64038B",18,18
"64041X",18,18
"64046L",18,18
"64062F",12,18
"64067Q",18,18
"64070M",18,18
"64071F",18,18
"64072W",14,18
"64073G",14,18
"64077O",3,18
"64081G",18,10
"64084F",14,18
"64089U",18,10
"64090L",18,10
"64092N",18,18
"64093N",18,18
"64100Z",18,18
"64108A",18,18
"64115V",18,18
"64141P",12,18
"64142P",18,10
"64150Q",14,18
"64159X",18,18
"64166S",14,18
"64168R",18,18
"64172G",14,18
"64173O",3,18
"64174H",14,18
"64184S",18,18
"64193S",14,18
"64196V",14,18
"64207Q",18,18
"64212I",18,18
"64216C",18,18
"64220P",14,18
"64225G",18,10
"64278S",18,18
"64280C",14,18
"64282M",14,18
"64285G",14,18
"64286M",12,18
"64288I",14,18
"64289O",12,18
"64293I",12,18
"64294L",6,18
"64295M",14,18
"64298O",18,18
"64303L",18,18
"64310R",18,18
"64312Q",12,18
"64313Q",18,18
"64318V",18,12
"64319V",18,18
"64321F",17,18
"64323H",18,18
"64327J",3,18
"64328B",17,18
"64344U",18,18
"64348O",18,18
"64349H",12,18
"64354R",18,18
"64357U",18,18
"64365P",18,18
"64370B",17,18
"64375N",18,18
"64376G",18,18
"64379I",17,18
"64390W",18,17
"64391O",18,17
"64397S",6,18
"64402C",12,18
"64403C",3,18
"64407O",18,18
"64409S",18,14
"64412C",18,18
"64420L",18,18
"64422A",18,18
"64425C",18,18
"64431G",3,18
"64433H",18,18
"64626F",14,18
"64628W",3,18
"64652L",18,18
"64653B",18,12
"64667K",18,18
"64673Q",14,18
"64674J",14,18
"64677Q",18,18
"64685H",18,18
"64686Z",4,18
"64706N",14,18
"64713M",18,18
"64717P",18,18
"64735B",4,18
"64739V",18,18
"64740M",18,18
"64741F",4,18
"64754A",10,18
"64766M",4,18
"64768R",18,10
"64781V",18,18
"64790B",18,4
"64828O",18,18
"64833F",18,18
"64891C",4,18
"64903P",18,18
"64910L",18,18
"64914G",4,18
"64916P",18,18
"64917Z",18,18
"64924E",18,18
"64933S",3,18
"64956H",3,18
"64957N",1,18
"64959J",18,18
"64970H",14,18
"64971P",4,18
"64978M",18,18
"65006L",18,3
"65038O",12,18
"65043C",6,18
"65055K",3,18
"65067N",18,10
"65075L",18,18
"65076V",18,12
"65101C",14,18
"65108M",17,18
"65111I",4,18
"65116R",12,18
"65121O",18,18
"65128U",7,18
"65131B",18,18
"65138R",14,18
"65146N",18,18
"65150Z",14,18
"65153J",4,18
"65164Z",4,18
"65169C",18,18
"65175O",18,18
"65177Z",18,18
"65178W",18,17
"65182P",18,18
"65184A",18,18
"65185R",17,18
"65192N",17,18
"65195P",18,18
"65196I",3,18
"65198R",18,18
"65199O",16,18
"65200H",18,18
"65202Q",18,18
"65204N",18,18
"65205S",18,18
"65206O",14,18
"65210Q",14,18
"65216V",18,14
"65217N",18,18
"65218G",14,18
"65221H",14,18
"65233C",18,18
"65236U",18,10
"65238F",3,18
"65239W",18,10
"65241G",18,10
"65242X",18,18
"65249U",18,10
"65250L",18,10
"65255L",12,18
"65256E",14,18
"65260W",14,18
"65262H",18,18
"65263V",3,18
"65266B",14,18
"65267S",14,18
"65269P",18,10
"65273W",3,18
"65280B",18,18
"65282L",18,18
"65286G",14,18
"65288H",18,18
"65289Z",18,18
"65290M",18,18
"65292J",14,18
"65293O",18,18
"65299L",18,12
"65301A",18,18
"65308W",12,18
"65309O",18,18
"65310G",12,18
"65320G",18,18
"65323N",18,18
"65326I",12,18
"65328R",18,18
"65331S",4,18
"65338P",3,18
"65345L",18,18
"65350W",12,18
"65351O",18,12
"65353Z",18,18
"65354Q",18,18
"65401L",18,18
"65405G",4,18
"65423Q",18,18
"65424J",18,18
"65429V",18,18
"65431A",10,18
"65581U",18,14
"65585U",18,4
"65586M",18,18
"65615V",18,18
"65621Q",18,18
"65791G",14,18
"65853U",18,18
"65859Z",18,18
"65864K",18,18
"65865C",18,18
"65867M",18,18
"65878C",18,18
"65883N",18,18
"65886P",18,18
"65889R",18,18
"65897G",18,18
"65907J",18,18
"65976L",2,18
"66394X",18,18
"66586G",18,18
"66589I",18,18
"66591Q",14,18
"66592J",18,18
"66594S",18,18
"66595L",18,18
"66596E",14,18
"66597V",18,18
"66602A",18,18
"66610A",18,18
"66799X",14,18
"66801M",18,18
"66802F",14,18
"66804O",14,18
"66805H",18,18
"66806Z",14,18
"66807Q",14,18
"66810R",14,18
"66811K",18,18
"66812C",18,18
"66814U",18,18
"66844N",18,18
"67307W",18,18
"67308O",18,18
"67340W",18,4
"67348L",18,14
"68296I",3,18
"68331S",1,18
"69107V",18,18
"69126K",18,3
"69184F",18,1
"69200K",18,3
"69225W",18,3
"69396Q",18,1
"97840H",18,18
"97841Z",18,18
"97842Q",18,18
"97843J",1,18
"97844B",18,18
"97845S",18,18
"97847E",18,18
"97848V",18,18
"97849N",1,18
"97879H",1,18
"97884R",18,18
"97915J",18,18
"97921M",1,18
"97944K",18,18
"97945C",18,18
"97968A",18,18
"97984B",2,18
"98038C",18,18
"98048A",18,18
"98090A",18,18
"98094U",18,18
"98101V",1,18
"98110B",18,18
"98126E",18,1
"98127V",18,18
"98141M",18,18
"98142F",18,18
"98161I",18,1
"98164K",1,18
"98174I",18,18
"98208B",18,18
"98230G",18,18
"98231X",18,18
"98232P",18,18
"98244X",18,18
"98245P",2,18
"98246I",16,18
"98249K",18,18
"98250B",18,18
"98257X",1,18
"98270W",1,18
"98282F",18,18
"98283W",18,18
"98296W",18,18
"98298H",18,18
"98314N",18,2
"98321J",18,18
"98330O",18,18
"98357H",18,1
"98380E",3,18
"98382N",1,18
"98388R",1,18
"98391S",18,1
"98393E",18,18
"98410C",18,18
"98411U",18,18
"98413F",18,18
"98419J",18,18
"98449C",18,18
"98454N",18,18
"98468G",18,1
"98469X",18,18
"98490K",1,18
"98495W",18,1
"98497H",18,18
"98499Q",1,18
"98500N",1,18
"98522S",18,18
"98534B",18,18
"98540F",18,1
"98546J",18,18
"98547B",18,18
"98548S",18,18
"98549L",18,18
"98550C",18,18
"98551U",18,18
"98552M",18,18
"98553F",18,18
"98554W",18,18
"98555O",18,18
"98556H",18,18
"98557Z",18,18
"98558Q",18,18
"98559J",18,18
"98561R",18,18
"98564U",18,18
"98565M",18,18
"98566F",18,18
"98569H",1,18
"98570X",18,18
"98573A",18,18
"98574R",18,18
"98575K",18,18
"98576C",18,18
"98578M",1,18
"98579F",18,18
"98580V",18,18
"98581N",18,18
"98584P",18,18
"98586A",2,18
"98587R",18,18
"98589C",18,18
"98590S",1,18
"98591L",18,18
"98592E",18,18
"98593V",1,18
"98594N",18,18
"98595G",18,18
"98596X",1,18
"98597P",18,18
"98598I",1,18
"98599A",18,18
"98600W",18,18
"98602H",18,18
"98605J",18,18
"98606B",18,18
"98607S",18,18
"98608L",1,18
"98609E",18,18
"98611M",18,18
"98612F",18,18
"98613W",1,18
"98615H",18,18
"98616Z",6,18
"98617Q",1,18
"98618J",1,18
"98620R",18,18
"98621K",18,18
"98622C",18,18
"98623U",18,18
"98624M",18,18
"98625F",18,18
"98626W",14,18
"98627O",18,18
"98628H",18,18
"98630P",18,18
"98631I",18,18
"98632A",18,18
"98633R",1,18
"98634K",18,18
"98635C",18,18
"98636U",18,18
"98637M",18,18
"98639W",18,18
"98640N",18,18
"98641G",1,18
"98642X",18,18
"98643P",18,18
"98644I",18,2
"98645A",6,18
"98647K",18,18
"98648C",18,18
"98649U",18,18
"98650L",18,18
"98651E",18,18
"98652V",18,18
"98653N",18,18
"98655X",18,18
"98656P",18,18
"98658A",18,18
"98659R",18,18
"98661B",18,18
"98663L",18,18
"98664E",18,18
"98665V",18,18
"98666N",18,18
"98667G",18,18
"98669P",18,18
"98670H",18,18
"98671Z",18,18
"98672Q",18,18
"98673J",18,18
"98674B",18,18
"98675S",1,18
"98678V",18,18
"98679N",18,18
"98682O",18,18
"98683H",18,18
"98684Z",18,18
"98685Q",18,18
"98686J",18,18
"98688S",18,18
"98689L",18,18
"98690C",18,18
"98691U",18,18
"98694W",18,18
"98696H",18,18
"98697Z",18,18
"98699J",18,18
"98700G",6,18
"98701X",18,18
"98702P",18,18
"98703I",18,18
"98704A",18,18
"98707C",18,18
"98709M",18,18
"98710E",18,18
"98711V",18,18
"98712N",18,18
"98713G",18,18
"98715P",18,18
"98716I",18,18
"98717A",18,18
"98718R",18,18
"98719K",18,18
"98720B",18,18
"98721S",18,18
"98722L",18,18
"98723E",18,18
"98724V",18,18
"98725N",18,18
"98726G",18,18
"98727X",18,18
"98728P",18,18
"98729I",18,18
"98730Z",18,18
"98731Q",1,18
"98732J",18,18
"98733B",18,18
"98734S",18,18
"98735L",18,18
"98736E",18,18
"98737V",18,18
"98738N",18,18
"98739G",18,18
"98740W",18,18
"98741O",18,18
"98742H",18,18
"98743Z",18,18
"98744Q",18,18
"98745J",1,18
"98747S",18,18
"98748L",18,18
"98750U",18,18
"98751M",18,18
"98752F",18,18
"98753W",18,18
"98754O",18,18
"98755H",18,18
"98756Z",18,18
"98758J",6,18
"98761K",18,18
"98762C",1,18
"98763U",18,18
"98765F",18,18
"98766W",18,18
"98768H",18,18
"98769Z",6,18
"98770P",18,18
"98771I",18,18
"98773R",18,18
"98774K",18,18
"98776U",18,18
"98777M",18,18
"98779W",1,18
"98780N",1,18
"98781G",18,18
"98783P",18,18
"98786R",18,18
"98788C",18,18
"98789U",18,18
"98790L",18,18
"98791E",18,18
"98792V",18,18
"98793N",8,18
"98794G",18,18
"98795X",18,18
"98796P",18,18
"98798A",18,18
"98799R",18,18
"98800O",18,18
"98801H",18,18
"98802Z",18,18
"98803Q",18,18
"98804J",18,18
"98805B",18,18
"98806S",18,18
"98808E",18,18
"98810M",18,18
"98811F",18,18
"98812W",18,18
"98813O",18,18
"98814H",18,18
"98816Q",18,18
"98817J",18,18
"98818B",18,18
"98819S",18,18
"98820K",18,18
"98822U",18,18
"98823M",18,18
"98825W",18,18
"98826O",18,18
"98827H",1,18
"98829Q",18,18
"98830I",18,18
"98831A",18,18
"98832R",18,18
"98833K",18,18
"98834C",18,18
"98835U",18,18
"98836M",1,18
"98837F",18,18
"98840G",18,18
"98841X",18,18
"98842P",18,18
"98843I",18,18
"98844A",1,18
"98845R",18,18
"98846K",18,18
"98847C",18,18
"98848U",18,18
"98849M",18,18
"98850E",18,18
"98852N",18,18
"98853G",18,18
"98854X",18,18
"98856I",18,18
"98857A",18,18
"98858R",18,18
"98860B",18,18
"98861S",18,18
"98863E",18,18
"98864V",18,18
"98865N",18,18
"98866G",18,18
"98867X",18,18
"98868P",18,18
"98869I",18,18
"98870Z",18,18
"98871Q",18,18
"98872J",18,18
"98874S",18,18
"98875L",18,18
"98876E",18,18
"98877V",18,18
"98878N",18,18
"98879G",18,18
"98880W",1,18
"98883Z",2,18
"98885J",18,18
"98886B",18,18
"98887S",18,18
"98888L",18,18
"98889E",18,18
"98890U",18,18
"98891M",18,18
"98894O",18,18
"98895H",18,18
"98896Z",18,18
"98897Q",18,18
"98898J",18,18
"98899B",18,18
"98900X",18,18
"98901P",18,18
"98902I",18,18
"98906C",18,18
"98907U",18,18
"98908M",18,18
"98909F",1,18
"98910V",1,18
"98911N",18,18
"98912G",18,18
"98913X",18,18
"98914P",1,18
"98915I",18,18
"98916A",18,18
"98917R",18,18
"98918K",18,18
"98919C",18,18
"98920S",18,18
"98921L",18,18
"98922E",18,18
"98923V",18,18
"98924N",18,18
"98925G",18,18
"98926X",18,18
"98927P",18,18
"98928I",18,18
"98929A",18,18
