"Permit.Number","Orig","Dest"
"55275Q",3,18
"55569G",18,18
"55839Q",1,18
"56673P",18,18
"57845K",1,18
"58218X",2,18
"58972N",1,18
"60112U",1,18
"60499L",14,18
"60570E",18,18
"60608G",18,4
"60681N",18,7
"60861I",18,3
"60863R",3,18
"60879U",18,3
"60916U",9,18
"61028R",18,3
"61031S",18,3
"61037X",18,3
"61039I",18,3
"61043B",18,3
"61051O",18,3
"61061M",18,3
"61078H",18,6
"61079Z",18,6
"61080P",18,3
"61097K",18,3
"61107N",18,3
"61114J",18,3
"61199E",18,3
"61201R",18,3
"61412X",2,18
"61611A",18,3
"61820V",18,3
"61821Q",18,5
"61822J",18,5
"61823B",18,6
"61824S",18,5
"61825L",18,5
"61826E",18,4
"61827V",18,2
"61828N",18,5
"61829G",18,5
"61830W",18,5
"61831O",18,5
"61832H",18,5
"61833Z",18,5
"61834Q",18,2
"61835J",18,5
"61836B",18,5
"61837S",18,6
"61838L",18,5
"61840U",18,3
"61841L",18,2
"61842E",18,7
"61843S",18,1
"61844O",18,5
"61845H",18,6
"61846Z",18,5
"61847Q",18,5
"61848J",18,1
"61849B",18,5
"61850R",18,5
"61851O",18,14
"61852Z",18,1
"61853Q",18,2
"61854O",18,6
"61855B",18,2
"61856S",18,3
"61857L",18,2
"61858E",18,1
"61859Z",18,5
"61860J",18,2
"61861K",18,7
"61862W",18,2
"61863R",18,3
"61864O",18,2
"61865W",18,2
"61866Q",18,3
"61867O",18,2
"61868H",18,2
"61869Q",18,3
"61870N",18,5
"61871F",18,3
"61872A",18,2
"61873K",18,3
"61874K",18,18
"61875C",18,4
"61876O",18,1
"61877J",18,3
"61878H",18,3
"61879N",18,5
"61880L",18,3
"61881I",18,4
"61882A",18,6
"61883R",18,3
"61884H",18,3
"61885A",18,2
"61886R",18,2
"61887K",18,3
"61888F",18,2
"61889H",18,2
"61890N",18,3
"61891X",18,3
"61892P",18,3
"61893P",18,6
"61894I",18,2
"61895A",18,2
"61896H",18,5
"61897K",18,3
"61898C",18,3
"61899O",18,2
"61900G",18,1
"61901J",18,3
"61902B",18,3
"61903F",18,9
"61904A",18,1
"61905B",18,4
"61906S",18,6
"61907L",18,4
"61908X",18,1
"61909V",18,4
"61910L",18,13
"61911U",18,3
"61912W",18,3
"61913O",18,4
"61914B",18,1
"61915Z",18,2
"61916Q",18,3
"61917E",18,1
"61918E",18,2
"61919S",18,1
"61920K",18,6
"61921C",18,3
"61922M",18,7
"61923E",18,5
"61924F",18,6
"61925O",18,7
"61926H",18,7
"61927E",18,6
"61928V",18,14
"61929N",18,3
"61930F",18,6
"61931R",18,7
"61932R",18,4
"61933K",18,4
"61934C",18,1
"61935U",18,12
"61936M",18,3
"61937F",18,2
"61938W",18,2
"61939O",18,6
"61940G",18,3
"61941X",18,5
"61942P",18,6
"61943I",18,12
"61944A",18,1
"61945R",18,3
"61946K",18,4
"61947C",18,2
"61948U",18,4
"61949M",18,2
"61950E",18,3
"61951V",18,4
"61952N",18,2
"61953G",18,3
"61954X",18,8
"61955P",18,3
"61956I",18,5
"61957A",18,4
"61958R",18,4
"61959K",18,6
"61960B",18,2
"61961S",18,3
"61962L",18,4
"61963E",18,2
"61964V",18,5
"61965N",18,4
"61966G",18,8
"61967X",18,6
"61968P",18,12
"61969I",18,2
"61970Z",18,4
"61971Q",18,4
"61972J",18,2
"61973B",18,2
"61974S",18,6
"61975L",18,4
"61976E",18,14
"61977V",18,3
"61978N",18,12
"61979G",18,6
"61980W",18,2
"61981O",18,3
"61982H",18,2
"61983Z",18,1
"61984Q",18,3
"61985J",18,4
"61986B",18,1
"61987S",18,2
"61988L",18,4
"61989E",18,2
"61990U",18,2
"61991M",18,4
"61992F",18,12
"61993W",18,12
"61994O",18,4
"61995H",18,3
"61996Z",18,2
"61997Q",18,6
"61998J",18,1
"61999B",18,4
"62000K",18,2
"62001C",18,2
"62002U",18,2
"62003M",18,1
"62004F",18,4
"62005W",18,3
"62006O",18,2
"62007H",18,2
"62008Z",18,3
"62009Q",18,2
"62010I",18,8
"62011A",18,3
"62012R",18,2
"62013K",18,12
"62014C",18,1
"62015U",18,12
"62016M",18,2
"62017F",18,3
"62018W",18,3
"62019O",18,4
"62020G",18,3
"62021X",18,2
"62022P",18,2
"62023I",18,14
"62024A",18,2
"62025R",18,2
"62026K",18,3
"62027C",18,2
"62028U",18,2
"62029M",18,2
"62030E",18,4
"62031M",18,1
"62032F",18,1
"62033G",18,12
"62034X",18,2
"62035P",18,6
"62036I",18,3
"62037A",18,2
"62038R",18,6
"62039K",18,3
"62040B",18,3
"62041K",18,1
"62042L",18,11
"62043A",18,7
"62044R",18,7
"62045G",18,8
"62046X",18,7
"62047P",18,3
"62048I",18,2
"62049A",18,2
"62050Q",18,7
"62051J",18,7
"62052B",18,3
"62053S",18,7
"62054L",18,7
"62055E",18,7
"62056V",18,7
"62057N",18,7
"62058G",18,7
"62059X",18,5
"62060O",18,6
"62061H",18,3
"62062Z",18,2
"62063Q",18,7
"62064J",18,3
"62065J",18,2
"62066V",18,3
"62067J",18,3
"62068L",18,8
"62069E",18,4
"62070O",18,3
"62071H",18,3
"62072F",18,2
"62073W",18,3
"62074J",18,3
"62075W",18,3
"62076V",18,3
"62077L",18,3
"62078J",18,2
"62079V",18,3
"62080R",18,3
"62081H",18,3
"62082Z",18,1
"62083U",18,3
"62084O",18,5
"62085B",18,3
"62086M",18,3
"62087F",18,3
"62088W",18,3
"62089O",18,3
"62090G",18,3
"62091K",18,2
"62092A",18,14
"62093R",18,2
"62094B",18,1
"62095Z",18,3
"62096Q",18,3
"62097J",18,6
"62098B",18,2
"62099S",18,6
"62100P",18,3
"62101G",18,1
"62102A",18,3
"62103R",18,3
"62104K",18,3
"62105C",18,3
"62106U",18,3
"62107M",18,3
"62108F",18,3
"62109W",18,3
"62110N",18,3
"62111G",18,3
"62112B",18,4
"62113J",18,3
"62114I",18,6
"62115U",18,1
"62116S",18,2
"62117L",18,6
"62118G",18,4
"62119A",18,4
"62120L",18,3
"62121X",18,1
"62122P",18,5
"62123S",18,4
"62124L",18,6
"62125Q",18,3
"62126H",18,2
"62127I",18,3
"62128X",18,18
"62129P",18,3
"62130H",18,3
"62131U",18,3
"62132K",18,9
"62133M",18,1
"62134B",18,2
"62135S",18,3
"62136Q",18,4
"62137A",18,5
"62138R",18,2
"62139P",18,2
"62140B",18,5
"62141S",18,5
"62142R",18,5
"62143K",18,5
"62144Z",18,3
"62145Q",18,3
"62146J",18,3
"62147B",18,3
"62148S",18,3
"62149L",18,18
"62150C",18,2
"62151U",18,3
"62152M",18,3
"62153F",18,3
"62154W",18,3
"62155O",18,3
"62156H",18,8
"62157Z",18,3
"62158Q",18,3
"62159J",18,3
"62160A",18,3
"62161R",18,3
"62162K",18,2
"62163C",18,6
"62164U",18,3
"62165G",18,9
"62166X",18,2
"62167P",18,9
"62168I",18,2
"62169A",18,9
"62170Q",18,6
"62171J",18,5
"62172B",18,9
"62173S",18,9
"62174L",18,9
"62175E",18,9
"62176V",18,2
"62177N",18,2
"62178M",18,3
"62179F",18,1
"62180V",18,1
"62181N",18,2
"62182G",18,1
"62183X",18,1
"62185I",18,1
"62186A",18,1
"62187R",18,1
"62188K",18,1
"62189C",18,1
"62190S",18,1
"62191L",18,2
"62192E",18,1
"62193V",18,2
"62194N",18,1
"62195G",18,8
"62196X",18,1
"62197P",18,1
"62198I",18,2
"62199A",18,1
"62200W",18,1
"62201O",18,1
"62202H",18,1
"62203Z",18,1
"62204Q",18,1
"62205J",18,2
"62206B",18,1
"62207S",18,1
"62208Q",18,12
"62209G",18,2
"62210Z",18,3
"62211O",18,3
"62212H",18,3
"62213Z",18,3
"62214L",18,5
"62215O",18,18
"62216H",18,8
"62217Z",18,3
"62218Q",18,6
"62219J",18,3
"62220R",18,3
"62221H",18,6
"62222I",18,6
"62223W",18,14
"62224O",18,2
"62225B",18,2
"62226C",18,2
"62227U",18,6
"62228M",18,2
"62229F",18,4
"62230P",18,1
"62231G",18,7
"62232C",18,3
"62233U",18,3
"62234E",18,9
"62235I",18,3
"62236Q",18,2
"62237R",18,12
"62238K",18,12
"62239C",18,12
"62240S",18,12
"62241L",18,12
"62242E",18,12
"62243V",18,12
"62244N",18,12
"62245G",18,12
"62246X",18,12
"62247P",18,12
"62248I",18,12
"62249P",18,14
"62250Z",18,17
"62251Z",18,6
"62252B",18,12
"62253B",18,17
"62254S",18,17
"62255L",18,17
"62256L",18,14
"62257E",18,14
"62258V",18,14
"62259R",18,14
"62260A",18,3
"62261F",18,10
"62262H",18,17
"62263O",18,10
"62264Q",18,17
"62265X",18,3
"62266S",18,2
"62267F",18,5
"62268X",18,3
"62269L",18,3
"62270H",18,3
"62271Z",18,3
"62272N",18,2
"62273O",18,12
"62274W",18,14
"62275O",18,14
"62276H",18,14
"62277Z",18,14
"62278Q",18,14
"62279J",18,14
"62280A",18,14
"62281R",18,14
"62282K",18,14
"62283M",18,12
"62284F",18,12
"62285M",18,14
"62286F",18,14
"62287O",18,17
"62288Z",18,12
"62289H",18,14
"62290I",18,12
"62291P",18,14
"62292I",18,3
"62293R",18,17
"62294R",18,14
"62295K",18,14
"62296U",18,17
"62297U",18,14
"62298M",18,14
"62299F",18,1
"62300B",18,14
"62301S",18,14
"62302L",18,14
"62303N",18,12
"62304V",18,14
"62305X",18,12
"62306G",18,14
"62307I",18,12
"62308P",18,14
"62309I",18,14
"62310Z",18,14
"62311Q",18,14
"62312Q",18,10
"62313L",18,12
"62314S",18,14
"62315L",18,14
"62316L",18,8
"62317V",18,14
"62318N",18,14
"62319G",18,14
"62320F",18,10
"62321O",18,14
"62322H",18,14
"62323Z",18,14
"62324Z",18,17
"62325Q",18,10
"62326J",18,10
"62327E",18,12
"62328H",18,14
"62329I",18,6
"62330Z",18,1
"62331W",18,2
"62332Q",18,3
"62333J",18,6
"62334B",18,3
"62335Q",18,6
"62336E",18,14
"62337M",18,14
"62338J",18,14
"62339S",18,17
"62340C",18,12
"62341U",18,12
"62342U",18,17
"62343F",18,12
"62344W",18,12
"62345O",18,12
"62346H",18,12
"62347Z",18,3
"62348Q",18,12
"62349J",18,12
"62350A",18,12
"62351R",18,12
"62352K",18,12
"62353C",18,12
"62354U",18,12
"62355M",18,12
"62356F",18,12
"62357W",18,12
"62358F",18,14
"62359H",18,12
"62360X",18,12
"62361P",18,12
"62362G",18,10
"62363A",18,12
"62364I",18,14
"62365R",18,17
"62366A",18,10
"62367O",18,14
"62368C",18,14
"62369C",18,10
"62370V",18,12
"62371N",18,12
"62372V",18,14
"62373V",18,10
"62374G",18,18
"62375X",18,14
"62376A",18,12
"62377J",18,1
"62378A",18,3
"62379Z",18,3
"62380P",18,3
"62381I",18,7
"62382V",18,5
"62383V",18,4
"62384N",18,12
"62385G",18,12
"62386N",18,14
"62387G",18,14
"62388X",18,14
"62389A",18,12
"62390Q",18,12
"62391J",18,12
"62392B",18,12
"62393S",18,12
"62394L",18,12
"62395E",18,12
"62396V",18,12
"62397N",18,12
"62398V",18,14
"62399X",18,12
"62400U",18,12
"62401M",18,12
"62402F",18,12
"62403W",18,3
"62404O",18,12
"62405W",18,14
"62406O",18,14
"62407Q",18,12
"62408Z",18,14
"62409Q",18,14
"62410I",18,14
"62411A",18,14
"62412R",18,14
"62413U",18,12
"62414M",18,12
"62415F",18,12
"62416W",18,12
"62417O",18,12
"62418H",18,12
"62419Z",18,12
"62420G",18,14
"62421I",18,12
"62422P",18,14
"62423R",18,12
"62424K",18,12
"62425W",18,14
"62426C",18,17
"62427C",18,14
"62428F",18,12
"62429W",18,12
"62430N",18,12
"62431V",18,14
"62432X",18,12
"62433P",18,12
"62434G",18,10
"62435P",18,14
"62436I",18,14
"62437A",18,14
"62438R",18,12
"62439U",18,18
"62440B",18,14
"62441B",18,10
"62442V",18,12
"62443E",18,14
"62444G",18,12
"62445X",18,12
"62446G",18,14
"62447G",18,10
"62448P",18,14
"62449P",18,10
"62450Z",18,14
"62451Q",18,14
"62452J",18,14
"62453L",18,12
"62454S",18,10
"62455L",18,14
"62456E",18,3
"62457V",18,3
"62458N",18,14
"62459G",18,14
"62460H",18,12
"62461Z",18,12
"62462Q",18,12
"62463J",18,12
"62464B",18,12
"62465H",18,3
"62466L",18,12
"62467X",18,2
"62468V",18,12
"62469N",18,12
"62470Z",18,14
"62471W",18,12
"62472A",18,14
"62473H",18,12
"62474Z",18,12
"62475Q",18,12
"62476J",18,12
"62477B",18,12
"62478J",18,14
"62479L",18,12
"62480C",18,12
"62481U",18,12
"62482M",18,12
"62483F",18,12
"62484M",18,14
"62485O",18,12
"62486H",18,12
"62487Z",18,12
"62488Z",18,17
"62489J",18,12
"62490U",18,1
"62491I",18,14
"62492A",18,14
"62493R",18,14
"62494K",18,14
"62495C",18,12
"62496U",18,14
"62497W",18,12
"62498F",18,14
"62499W",18,14
"62500E",18,12
"62501V",18,12
"62502N",18,12
"62503V",18,14
"62504N",18,14
"62505G",18,14
"62507P",18,14
"62508I",18,14
"62509A",18,14
"62510B",18,12
"62511S",18,12
"62512B",18,14
"62513L",18,17
"62514V",18,12
"62515E",18,14
"62516V",18,14
"62517N",18,14
"62518G",18,14
"62519I",18,12
"62520O",18,14
"62521H",18,14
"62522Z",18,14
"62523Q",18,14
"62524S",18,12
"62525L",18,12
"62526E",18,12
"62527L",18,14
"62528N",18,12
"62529G",18,12
"62530W",18,12
"62531O",18,12
"62532H",18,12
"62533O",18,14
"62534H",18,14
"62535J",18,12
"62536Q",18,14
"62537J",18,14
"62538B",18,14
"62539S",18,14
"62540K",18,14
"62541C",18,14
"62542U",18,14
"62543M",18,14
"62544F",18,14
"62545W",18,14
"62546O",18,14
"62547H",18,14
"62548Z",18,14
"62549J",18,17
"62550I",18,14
"62551I",18,10
"62552R",18,14
"62553U",18,12
"62554M",18,12
"62555F",18,12
"62556W",18,12
"62557F",18,14
"62558W",18,14
"62559O",18,14
"62560G",18,14
"62561X",18,14
"62562X",18,10
"62563R",18,12
"62564K",18,12
"62565C",18,12
"62566U",18,12
"62568F",18,12
"62569W",18,12
"62570E",18,14
"62571V",18,14
"62572N",18,14
"62573G",18,14
"62574I",18,12
"62575A",18,12
"62576R",18,12
"62577R",18,17
"62578C",18,12
"62579U",18,12
"62580S",18,17
"62581E",18,12
"62582V",18,12
"62583N",18,12
"62584G",18,12
"62585X",18,12
"62586P",18,12
"62587X",18,14
"62588P",18,14
"62589R",18,12
"62590J",18,12
"62591B",18,12
"62592S",18,12
"62593L",18,12
"62594E",18,12
"62595V",18,12
"62596N",18,12
"62597G",18,12
"62598X",18,12
"62599P",18,12
"62600M",18,12
"62601U",18,10
"62602U",18,10
"62603O",18,12
"62604W",18,14
"62605O",18,14
"62606E",18,2
"62607J",18,4
"62608R",18,5
"62609S",18,3
"62610K",18,4
"62611C",18,12
"62612U",18,12
"62613K",18,3
"62614U",18,14
"62615M",18,14
"62616O",18,12
"62617H",18,12
"62618O",18,14
"62619Q",18,12
"62620I",18,12
"62621P",18,14
"62622I",18,14
"62623A",18,14
"62624C",18,12
"62626K",18,10
"62628M",18,14
"62629F",18,14
"62630G",18,3
"62631N",18,14
"62632G",18,14
"62633X",18,14
"62634P",18,14
"62635I",18,14
"62636K",18,12
"62637C",18,12
"62638U",18,12
"62639C",18,14
"62640S",18,14
"62641L",18,14
"62642E",18,14
"62643V",18,14
"62644N",18,14
"62645G",18,14
"62646I",18,12
"62647P",18,14
"62648I",18,14
"62649A",18,14
"62650N",18,8
"62651L",18,2
